"fod","year","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y"
"1","2018",24,-0.341907720373987,0.00166353018615051,0.0407863970724371,0.4550847470543,0.414291366032448,0.499894866226238,"a",15.8080636790009
"1","2021",50,-0.420867918104331,0.006292067499205,0.0793225535343196,0.379430363509861,0.316089106151382,0.455464607768785,"b",14.4030555414458
"1","2022",31,-0.512576177433489,0.0201598507686318,0.141985389278728,0.307201847053662,0.221533002312133,0.425999620138823,"c",13.4712908200522
"1","2023",28,-0.365367882809292,0.00157577437027306,0.0396960246154834,0.431153699786601,0.393492167924173,0.472419854810163,"a",14.9392275308617
"2","2018",24,-0.331843362027552,0.000950657312064899,0.0308327311807582,0.465754047798104,0.433834321350333,0.500022295066748,"a",15.812093332757
"2","2021",50,-0.413396922147561,0.00615604714226502,0.0784604814047494,0.386014019423599,0.322212657212181,0.462448696090298,"b",14.6239118062034
"2","2022",31,-0.383830754595188,0.00191599825570677,0.0437721173317761,0.413208498773893,0.373591621742954,0.457026478972946,"bc",14.4524462456156
"2","2023",28,-0.367652787522397,0.00046173043284074,0.0214879136455995,0.428891276053646,0.408187121909393,0.450645590714536,"a c",14.2506648416996
"3","2018",24,-0.377673037136466,0.000369065428595296,0.0192110756751228,0.419108976679548,0.400973699220189,0.438064478231328,"ab",13.8528151322425
"3","2021",50,-0.400883819098711,0.0025865119771907,0.0508577622117873,0.397297818941172,0.35339338727126,0.446656792743699,"a",14.1245279745586
"3","2022",31,-0.465292913917083,0.0040884712385535,0.0639411544981282,0.342536681597028,0.295641863846967,0.396869972042383,"c",12.5501304658128
"3","2023",28,-0.371859073044718,0.0003646674507842,0.0190962679805296,0.424757373784636,0.406485126324571,0.443850992078759,"b",14.0358007669423
"4","2018",24,-0.436964057260219,0.0030562954988434,0.0552837724729726,0.365625049935032,0.321923121579534,0.415259632436708,"a",13.1316625882433
"4","2021",50,-0.45575974369688,0.00342927380056474,0.0585600017124722,0.350138813956725,0.305970992029638,0.400682392228694,"a",12.6706897776762
"4","2022",31,-0.501084777010326,0.00266841204055996,0.0516566746951443,0.315438880676566,0.280064813174253,0.355280930562941,"b",11.2349694980302
"4","2023",28,-0.386404973391934,0.000602608543408188,0.0245480863492083,0.410766508568826,0.388192321078931,0.434653431816639,"c",13.7449483734928
