"fod","year","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y"
"1","2018",24,-0.566367074623954,0.00404269103992403,0.0635821597613987,0.271414424856265,0.234450285327656,0.314206442176452,"a",9.93608012775583
"1","2021",50,-0.708568571454583,0.0139539623971821,0.118126891084046,0.195628186305757,0.149040581883333,0.256778300203078,"b",8.12004282348202
"1","2022",31,-0.809315736396341,0.0100301820488869,0.100150796546443,0.155125881935546,0.123178090403574,0.195359736195284,"c",6.17781729466734
"1","2023",28,-0.733851736277957,0.00827513169801463,0.0909677508681765,0.184564539621899,0.149685769003285,0.22757052666173,"b",7.1964119257514
"2","2018",24,-0.587910174125925,0.00373399822523883,0.0611064499479297,0.258279433918525,0.224379603334103,0.297300935530867,"a",9.40148106776421
"2","2021",50,-0.717135027788308,0.0079496813038647,0.089160985323541,0.191807229439513,0.156208257144658,0.235519004806465,"b",7.44776487444572
"2","2022",31,-0.672582370350749,0.00443695212640438,0.0666104505795028,0.212528721493777,0.182308609680901,0.247758224577758,"c",7.83480298705225
"2","2023",28,-0.751750967245867,0.00249435740348856,0.0499435421600086,0.177112426368611,0.157872138039261,0.198697578710029,"b",6.28336914284274
"3","2018",24,-0.603970096476282,0.00262032583954438,0.0511891183704543,0.24890286954684,0.221228352509967,0.280039324823252,"a",8.85562100857206
"3","2021",50,-0.609820503568754,0.00195391873089753,0.0442031529519958,0.245572367082162,0.221807559537656,0.271883373136785,"a",8.59770717041678
"3","2022",31,-0.672119180280755,0.00354614961269896,0.0595495559404011,0.212755511636464,0.185494596816517,0.244022782919481,"b",7.71667794998393
"3","2023",28,-0.7202093420287,0.00140483420066291,0.0374811179217337,0.190454245419154,0.174706691776942,0.207621237797182,"c",6.56556002062534
"4","2018",24,-0.467175830952045,0.00578231322041107,0.076041523001654,0.341054802264772,0.286274487629265,0.406317653770459,"a",12.8488923945035
"4","2021",50,-0.614273823699783,0.0110905161325712,0.105311519467584,0.243067098202302,0.190728088757578,0.309768815979605,"b",9.79575006589113
"4","2022",31,-0.706186413554634,0.00281814230305054,0.0530861780791435,0.196704178908607,0.174071394445999,0.222279680835857,"c",7.02910069016589
"4","2023",28,-0.689567274332331,0.00307408627065813,0.0554444430999007,0.204377332103007,0.179882238155405,0.232207995107646,"c",7.34306155441398
"5","2018",24,-0.72968071668416,0.00757091045858025,0.0870109789542691,0.186345660364288,0.152513505843326,0.227682820249864,"a",7.19996296080277
"5","2021",50,-0.874169455365913,0.00981083379595599,0.0990496531844306,0.13360740982224,0.106360627636715,0.167834097598404,"b",5.30738017449953
"5","2022",31,-0.880393592402997,0.00339898717801099,0.0583008334246689,0.131706257004683,0.115161038914957,0.15062853112148,"b",4.76329238949434
"5","2023",28,-0.839131150996451,0.00414523430676523,0.0643834940552719,0.144833441030489,0.124877833322955,0.167977975614639,"b",5.3119299968648
"6","2018",24,-1.0586859662322,0.00301914454260305,0.0549467427842911,0.0873602833069549,0.0769781183450155,0.0991427078701203,"a",3.13516770266281
"6","2021",50,-1.09430093208463,0.00112944616206974,0.0336072337759259,0.0804820570277384,0.0744889468542069,0.0869573510831604,"b",2.74983288717697
"6","2022",31,-1.10249870024453,0.0015738345856379,0.0396715841079973,0.0789771213021713,0.0720824792537816,0.0865312313581479,"b",2.73635779830733
"6","2023",28,-1.04639869785253,0.00089280298995794,0.0298798090682979,0.0898672189537122,0.0838921825255749,0.0962678142270575,"a",3.04425558323464
"7","2018",24,-0.635223665244438,0.00282413371462562,0.0531425791115337,0.231620147986008,0.204943314487855,0.261769421886848,"a",8.27787594947972
"7","2021",50,-0.806738159054245,0.0082355112516666,0.0907497176395971,0.156049305778411,0.126622861371849,0.192314291195902,"b",6.08151186779918
"7","2022",31,-0.800514821389689,0.00604086794085616,0.0777230206621961,0.158301554140434,0.132361645604625,0.189325101911555,"b",5.98698540284012
"7","2023",28,-0.831689046012637,0.00381862731564195,0.0617950428079951,0.147336705274617,0.127795602898484,0.169865818767048,"b",5.37162883913245
