"fod","year","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y"
"7","2023",28,-1.29974490748631,0.000309816928072456,0.0176016172004863,0.0501481703558265,0.0481563403609741,0.0522223859036228,"c",1.65141684303718
"8","2018",15,-1.36756059159796,0.002238580665608,0.0473136414325509,0.0428982334602142,0.0384703171780128,0.0478358009239086,"a",1.51270084617938
"8","2021",23,-1.36068384623144,0.00278568197146038,0.0527795601673638,0.0435829029105951,0.038595493074107,0.0492147987970305,"a",1.55630858785531
"8","2022",10,-1.36587586356464,0.00404650523418864,0.0636121469075572,0.0430649687527658,0.0371973490058121,0.0498581641768857,"ab",1.57665358753573
"8","2023",8,-1.29330033952408,0.00496101436827844,0.0704344686093282,0.050897876133566,0.0432778016239465,0.05985964392134,"b",1.89292814718088
"9","2018",24,-1.3791447692988,0.000437693584676524,0.0209211277104396,0.041769110876741,0.039804676895321,0.0438304932865455,"a",1.38604189754203
"9","2021",50,-1.35467966871878,0.00209506516982362,0.0457718818689337,0.044189626545945,0.0397693460242704,0.0491012121013601,"ab",1.5527166611532
"9","2022",31,-1.33942305198817,0.00215994521775615,0.0464752107876462,0.0457695821948578,0.0411246047751313,0.0509392045406023,"b",1.61083908545494
"9","2023",28,-1.30646758510983,0.00108747610832229,0.0329769026490102,0.0493778771555468,0.0457673231699418,0.0532732653674089,"c",1.68464856955579
"10","2018",24,-1.37390610206093,0.00154294439751059,0.0392803309241481,0.0422760008478869,0.0386201153878074,0.0462779623971497,"a",1.46343766646619
"10","2021",49,-1.34895194911149,0.00145442151193314,0.0381368786338518,0.0447762842480706,0.0410120211109026,0.0488860479624359,"b",1.54591257365531
"10","2022",31,-1.3128520304404,0.00143869727825743,0.037930163172038,0.0486572958943075,0.0445879808967642,0.0530979962790378,"c",1.67910607432905
"10","2023",28,-1.30170488683899,0.00039133357777497,0.0197821530116156,0.0499223606232529,0.0476994048290149,0.052248913778524,"c",1.6522557280989
"11","2018",20,-1.26620536467346,0.00050154215361318,0.0223951368295257,0.0541744655225701,0.0514516727241425,0.0570413469430123,"a",1.80380577143802
"11","2021",47,-1.28588119491944,0.000580557110797659,0.0240947527648171,0.0517748447227421,0.0489805945296854,0.0547285015995348,"b",1.73066717982698
"11","2022",30,-1.28593863634313,0.000319087579790706,0.0178630226946815,0.0517679972396466,0.0496819165440925,0.0539416698191511,"b",1.7057853742128
"11","2023",27,-1.26450706098532,0.000132048022591777,0.0114912150180813,0.0543867289171573,0.0529665546473718,0.0558449818380838,"a",1.76597338499081
"12","2018",24,-1.33927966950085,0.00238459074031232,0.0488322715047367,0.0457846955344156,0.0409155184878333,0.0512333320620751,"a",1.62014021435888
"12","2021",50,-1.32760000990386,0.000834555346874567,0.0288886716010717,0.0470327085715218,0.0440059416426169,0.0502676591615403,"ab",1.58960295595497
"12","2022",31,-1.30767494778261,0.000743884452441447,0.0272742452222137,0.0492407945637256,0.0462435117330713,0.0524323469044204,"b",1.65805639286047
"12","2023",28,-1.31878670679628,0.00121293860068803,0.0348272680623678,0.0479969115953494,0.0442981944464587,0.052004456422624,"ab",1.64452530774464
"13","2018",24,-1.26600192320188,0.000512350988889032,0.0226351715012065,0.0541998490244899,0.0514473376424978,0.0570996239823086,"a",1.80564865323269
"13","2021",50,-1.26130502265216,0.000367047000638086,0.019158470728064,0.0547892022937844,0.0524247667204759,0.0572602774561661,"a",1.81072896214677
"13","2022",31,-1.25576330708088,0.000326216647293884,0.0180614685807629,0.055492806945577,0.053232299174317,0.057849307102347,"a",1.82935571505972
"13","2023",28,-1.26131031500443,0.000331456953518103,0.0182059592858521,0.0547885346316236,0.0525392326747002,0.0571341333754594,"a",1.80673993606296
