"year","fod","n_days","mean_prop","sd_prop","ymin","ymax","letter","y"
"2018","0",3,6.96685085278609e-06,3.01673491144502e-06,3.95011594134107e-06,9.9835857642311e-06,"a",0.0600099835857642
"2018","1",24,0.0970492665212336,0.0194811862278228,0.0775680802934109,0.116530452749056,"a",0.176530452749056
"2018","10",24,0.00922944452427294,0.000935469931183725,0.00829397459308922,0.0101649144554567,"a",0.0701649144554567
"2018","11",24,0.00996629785899965,0.00270268989703773,0.00726360796196192,0.0126689877560374,"a",0.0726689877560374
"2018","12",24,0.0236938243221472,0.00251928257058778,0.0211745417515594,0.026213106892735,"a",0.086213106892735
"2018","13",24,0.0175460138727418,0.00066263169990314,0.0168833821728386,0.0182086455726449,"a",0.0782086455726449
"2018","2",24,0.188086902755825,0.026648468673143,0.161438434082682,0.214735371428968,"a",0.274735371428968
"2018","3",24,0.152444384935927,0.00768589529706525,0.144758489638861,0.160130280232992,"a",0.220130280232992
"2018","4",24,0.170535881459033,0.00140617318857506,0.169129708270458,0.171942054647608,"a",0.231942054647608
"2018","5",24,0.147506847108104,0.00361055869920522,0.143896288408899,0.151117405807309,"a",0.211117405807309
"2018","6",24,0.145857227454617,0.00696647636650115,0.138890751088116,0.152823703821119,"a",0.212823703821119
"2018","7",24,0.0208652284473937,0.00245629055198029,0.0184089378954135,0.023321518999374,"a",0.083321518999374
"2018","8",24,0.00085899093873961,0.000723263024186323,0.000135727914553286,0.00158225396292593,"a",0.0615822539629259
"2018","9",24,0.0163588189446092,0.00139284013116913,0.0149659788134401,0.0177516590757783,"a",0.0777516590757783
"2021","1",50,0.091459067574099,0.012152511177101,0.079306556396998,0.1036115787512,"a",0.1636115787512
"2021","10",50,0.00640554909670424,0.00081182124916103,0.00559372784754321,0.00721737034586527,"b",0.0672173703458653
"2021","11",50,0.010018941125756,0.00297539117904123,0.00704354994671479,0.0129943323047972,"a",0.0729943323047972
"2021","12",50,0.0191313730356746,0.00442963546678914,0.0147017375688855,0.0235610085024638,"b",0.0835610085024638
"2021","13",50,0.0250876125037556,0.00333963468763872,0.0217479778161168,0.0284272471913943,"b",0.0884272471913943
"2021","2",50,0.24203968492417,0.025109694078799,0.216929990845371,0.267149379002969,"b",0.327149379002969
"2021","3",50,0.10208948049064,0.00821231811280851,0.093877162377832,0.110301798603449,"b",0.170301798603449
"2021","4",50,0.14686917560383,0.00277123961977324,0.144097935984057,0.149640415223603,"b",0.209640415223603
"2021","5",50,0.188065314226745,0.0101535023462951,0.17791181188045,0.19821881657304,"b",0.25821881657304
"2021","6",50,0.13172787480569,0.00832715262252148,0.123400722183169,0.140055027428212,"b",0.200055027428212
"2021","7",50,0.0240294436534166,0.00364834849636802,0.0203810951570486,0.0276777921497846,"b",0.0876777921497846
"2021","8",47,0.000168594084865693,0.000223944602355881,0,0.000392538687221574,"b",0.0603925386872216
"2021","9",50,0.0129180045197445,0.00164590464791566,0.0112720998718288,0.0145639091676602,"b",0.0745639091676601
"2022","0",4,2.1553694825807e-05,1.48365402944372e-05,6.71715453136971e-06,3.63902351202442e-05,"a",0.0600363902351202
"2022","1",31,0.091630719261334,0.005636512375672,0.085994206885662,0.097267231637006,"a",0.157267231637006
"2022","10",31,0.00804991523898897,0.000559550945076938,0.00749036429391203,0.00860946618406591,"c",0.0686094661840659
"2022","11",31,0.0134747884977854,0.000728344519504042,0.0127464439782814,0.0142031330172895,"b",0.0742031330172895
"2022","12",31,0.0196031170477295,0.00220934229090432,0.0173937747568252,0.0218124593386338,"b",0.0818124593386338
"2022","13",31,0.0233181902649777,0.00109188732853474,0.022226302936443,0.0244100775935124,"c",0.0844100775935124
"2022","2",31,0.229570489431105,0.0100284646452076,0.219542024785897,0.239598954076312,"c",0.299598954076312
"2022","3",31,0.112279453871933,0.00301039805618763,0.109269055815745,0.11528985192812,"c",0.17528985192812
"2022","4",31,0.152568471432189,0.00268322203721885,0.14988524939497,0.155251693469408,"c",0.215251693469408
"2022","5",31,0.152125093178119,0.00768547254927313,0.144439620628846,0.159810565727392,"a c",0.219810565727392
"2022","6",31,0.161696197827101,0.00897681339240045,0.152719384434701,0.170673011219501,"c",0.230673011219501
"2022","7",31,0.0222675161168122,0.00142988047064804,0.0208376356461641,0.0236973965874602,"a",0.0836973965874602
"2022","8",31,0.000102985787202878,0.000100328036462575,2.65775074030353e-06,0.000203313823665453,"b",0.0602033138236654
"2022","9",31,0.01331028092281,0.00100440697114044,0.0123058739516695,0.0143146878939504,"b",0.0743146878939504
"2023","1",28,0.0731747006275764,0.00255970718748137,0.070614993440095,0.0757344078150578,"b",0.135734407815058
"2023","10",28,0.00976233085947924,0.000654000195566139,0.0091083306639131,0.0104163310550454,"a",0.0704163310550454
"2023","11",28,0.0158446715720761,0.00221222900035148,0.0136324425717246,0.0180569005724276,"c",0.0780569005724276
"2023","12",28,0.0125171916375396,0.0011222534803394,0.0113949381572002,0.013639445117879,"c",0.073639445117879
