"fod","year","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y"
"1","2018",24,-1.04247699290564,0.00242696853629856,0.0492642724121504,0.0906824003031683,0.0809578068650633,0.101575104899399,"ab",3.21208685052628
"1","2021",50,-1.05236078931555,0.00333948838370209,0.0577883066346652,0.0886419314914067,0.0775980671987485,0.101257573831091,"a",3.20204563648909
"1","2022",30,-1.0163900090823,0.00198518184328967,0.044555379510107,0.0962963865640931,0.0869069705682784,0.1067002336483,"b",3.37415765200766
"1","2023",28,-1.06422252485941,0.00194136873321956,0.0440609660949412,0.0862536485988738,0.0779321233131177,0.0954637392173523,"a",3.01882849883173
"2","2018",24,-1.04417991752381,0.00263085411867615,0.0512918523615218,0.0903275191500931,0.0802653733468528,0.101651065404661,"a",3.21448893261473
"2","2021",50,-1.0061008404104,0.00113303563078442,0.0336605946290974,0.0986050504406452,0.0912511959237208,0.106551545697328,"b",3.36945572615071
"2","2022",31,-1.02959070552504,0.00197575537583318,0.0444494699162226,0.0934134247228032,0.0843256746690347,0.10348055859252,"ab",3.27234258698871
"2","2023",28,-1.03272872607094,0.000953575916791689,0.0308800245594412,0.0927408931147189,0.0863756342465915,0.0995752254757554,"a",3.1488451102821
"3","2018",24,-0.984037841085266,0.000652136638978719,0.0255369661271405,0.103743801749965,0.0978194446306102,0.11002696286182,"a",3.4793580667411
"3","2021",50,-0.975335448010254,0.000966850642201681,0.0310942220066957,0.105843587604801,0.0985304190804919,0.113699557371245,"a",3.59549570246121
"3","2022",31,-0.949783991409409,0.00136256116598305,0.0369128861779061,0.112257666058528,0.103110554508095,0.122216233333502,"b",3.86481664380458
"3","2023",28,-1.0158388478069,0.000806216130956238,0.0283939453221323,0.0964186734782158,0.090316522391658,0.102933110676961,"c",3.25503076385394
"4","2018",24,-0.999921645451353,0.00484788924201029,0.069626785377542,0.100018043429199,0.0852023491740346,0.117410014024048,"ab",3.71283064428302
"4","2021",50,-0.977164794953454,0.00147046505679057,0.0383466433575426,0.105398688053941,0.0964913897873206,0.115128235462018,"a c",3.64067447056143
"4","2022",31,-0.959805248539724,0.00122599672838682,0.0350142360817257,0.109697000210698,0.101200000669884,0.11890742861237,"c",3.76018305128964
"4","2023",28,-1.01969404508625,0.00130826541499463,0.0361699518246103,0.0955665603135004,0.0879297833473571,0.103866597897496,"b",3.28455022168945
"5","2018",24,-0.974880194680205,0.000390306166683327,0.0197561678137064,0.10595459732767,0.101242681080967,0.110885809966754,"a",3.50651719687543
"5","2021",50,-0.988927145359076,0.000423319053715414,0.0205747188003971,0.10258239979075,0.097835875528234,0.107559202491038,"ab",3.40132063182937
"5","2022",31,-0.998097335338572,0.00203521299878543,0.045113335043925,0.100439065810406,0.090529334880319,0.111433558571964,"b",3.52383852865187
"5","2023",28,-1.02112483080604,0.00075961460028719,0.0275611066593341,0.0952522337792125,0.0893951716330312,0.101493043462957,"c",3.20949184005408
"6","2018",24,-1.02114030031735,0.000239289644369018,0.0154689897656252,0.0952488409678214,0.0919159139561164,0.0987026219425372,"a",3.12125096368931
"6","2021",45,-1.04052263742805,0.00582072118330291,0.0762936510025763,0.0910913969998114,0.0764158963263873,0.108585294503861,"a",3.43376851032364
"6","2022",31,-1.06292299036071,0.00759355109194873,0.0871409839969043,0.086512130956538,0.0707841507118254,0.105734811075311,"a",3.3436283096558
"6","2023",28,-1.03205508903012,0.000600202797404738,0.0244990366627902,0.0928848557487203,0.0877901668259304,0.0982752025584746,"a",3.10773477599186
"7","2018",24,-1.02995291843543,0.00241700062988965,0.049163000619263,0.0933355479734885,0.0833458693561581,0.104522570618165,"ab",3.30529390049195
"7","2021",49,-0.999855805198018,0.00205234662330632,0.0453028323982764,0.100033207592654,0.0901241874937864,0.111031709683539,"a",3.51113095102557
"7","2022",31,-1.02334962970158,0.00456421640475095,0.0675589846338068,0.0947655244245208,0.0811131720885815,0.110715736892241,"ab",3.50113901403413
"7","2023",27,-1.03986662494817,0.000659627713199825,0.0256832185132593,0.0912290967651664,0.0859904371022882,0.0967869030214131,"b",3.06067061221498
"8","2018",12,-1.01782136211854,0.00438471156085811,0.0662171545814082,0.0959795341916654,0.0824065027110112,0.111788156038542,"a",3.53505188512099
"8","2021",15,-1.00364620111081,0.00551812486851548,0.0742840822014749,0.0991639457042121,0.0835737167185909,0.117662448359682,"a",3.72081331888539
"8","2022",8,-0.98709325625549,0.00130465426054498,0.0361199980695595,0.103016488890559,0.0947952869795328,0.111950681531561,"a",3.54019139247881
"8","2023",3,-1.0306687153248,0.0116196628202056,0.10779453984412,0.0931818405907251,0.0727003907031537,0.119433407879865,"a",3.77681597616275
"9","2018",23,-1.01996181144369,0.00312328911861073,0.0558863947540967,0.0955076564504125,0.0839753444299101,0.108623697855308,"a",3.43498293092722
"9","2021",49,-0.987813452771035,0.00138575960027819,0.0372257921376857,0.10284579679909,0.0943975570322982,0.112050123454155,"b",3.54333602218183
"9","2022",31,-0.975956835169714,0.00331455618774491,0.0575721824125585,0.10569225522602,0.0925701531887854,0.120674455318017,"b",3.81606134205152
"9","2023",28,-1.02224083723115,0.00142350976357195,0.0377294283493926,0.0950077783601421,0.0871023223417638,0.103630738036038,"a",3.27709167798126
"10","2018",24,-0.980095654210138,0.00133899832190766,0.0365923259975048,0.104689794133427,0.0962303399004999,0.113892905366766,"a",3.60160990292997
"10","2021",47,-0.968869791742952,0.00125746257091777,0.0354607187027811,0.10743114593873,0.099007818047234,0.116571108679544,"ab",3.68630212798382
"10","2022",31,-0.943775504006603,0.00246290549138695,0.0496276686072089,0.113821550142051,0.101530570709395,0.127600437840744,"b",4.0350801401149
"10","2023",27,-1.01859747327662,0.00300636573157997,0.0548303358696623,0.0958081659833681,0.0844446598871969,0.108700830595545,"c",3.4374220823404
"11","2018",17,-1.00606894607599,0.000883623314649352,0.0297258021699895,0.0986122922041684,0.092088468789584,0.105598282842338,"ab",3.33931090784466
"11","2021",41,-0.978847609042361,0.00230274158664352,0.0479868897371305,0.104991077051895,0.0940081489171404,0.117257135551438,"a",3.70799620249646
"11","2022",26,-0.973505131183094,0.00405781597885513,0.0637009888373417,0.106290602498201,0.0917896851085097,0.123082372121388,"a",3.89220635719998
"11","2023",27,-1.03708835225746,0.00142647292980914,0.0377686765694688,0.091814579119647,0.0841672177293589,0.100156773222853,"b",3.16723526477179
"12","2018",24,-0.995326017655835,0.00559591095411912,0.0748058216592741,0.101082036331562,0.0850879696385869,0.120082522973984,"a",3.79734279777286
"12","2021",49,-1.00060079387274,0.00232404904822443,0.0482083918858992,0.0998617577412336,0.0893698058050793,0.111585457407384,"a",3.5286419915904
"12","2022",30,-0.978767446640478,0.0044146858202662,0.0664431021270546,0.105010458172443,0.0901134156034487,0.122370195955201,"a",3.8696853693956
"12","2023",28,-1.04413308837822,0.00404757035984913,0.0636205183871456,0.0903372595193208,0.0780272665949539,0.104589341823604,"b",3.30740539140498
"13","2018",23,-1.00247322025633,0.000686181405436019,0.0261950645243721,0.0994321384542807,0.0936120412282469,0.105614085836299,"a",3.33981064239235
"13","2021",45,-1.02257341479757,0.0043222597149943,0.065743894887619,0.094935050380296,0.0815985967600058,0.110451210542468,"ab",3.49277395637001
"13","2022",27,-1.04543958688937,0.00453231110356692,0.0673224413072411,0.0900659041408914,0.0771326001625274,0.105167815834337,"b",3.32569834581626
"13","2023",28,-1.04212043025695,0.000376089149492559,0.0193930180604402,0.090756882561563,0.0867933700532288,0.09490139312763,"ab",3.00104555406361
