"grid_id","mean_rmse_test","sd_rmse_test","mean_rmse_train","mean_r2_test","mtry","min.node.size","num.trees"
1,0.308481572950247,0.105347468669492,0.209497216381823,-0.0510699653405476,2,5,300
4,0.309108918707383,0.106851310936462,0.209483844083096,-0.0556116484580024,2,10,300
2,0.310404211409129,0.111099822326658,0.203939334130992,-0.102964365912257,3,5,300
3,0.310450763235807,0.112687075663741,0.203074740835595,-0.114157155716979,4,5,300
5,0.311294668943736,0.112870467199238,0.203941897087392,-0.114005507213651,3,10,300
6,0.311648201552162,0.113771829171208,0.203075376264484,-0.12545554733048,4,10,300
