"community",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"2","proportion","chlb_totpig","zea_totpig",14833,14833,129.041032115711,0,0,"****"
"2","proportion","dvchla_totpig","fuco_totpig",14833,14833,175.561565057639,0,0,"****"
"2","proportion","dvchla_totpig","hex_totpig",14833,14833,217.974040203612,0,0,"****"
"2","proportion","dvchla_totpig","per_totpig",14833,14833,-0.0668592469381217,0.946693756639583,1,"ns"
"2","proportion","dvchla_totpig","zea_totpig",14833,14833,128.974172868772,0,0,"****"
"2","proportion","fuco_totpig","hex_totpig",14833,14833,42.412475145973,0,0,"****"
"2","proportion","fuco_totpig","per_totpig",14833,14833,-175.628424304577,0,0,"****"
"2","proportion","fuco_totpig","zea_totpig",14833,14833,-46.5873921888667,0,0,"****"
"2","proportion","hex_totpig","per_totpig",14833,14833,-218.04089945055,0,0,"****"
"2","proportion","hex_totpig","zea_totpig",14833,14833,-88.9998673348397,0,0,"****"
"2","proportion","per_totpig","zea_totpig",14833,14833,129.041032115711,0,0,"****"
"3","proportion","allo_totpig","but_totpig",31808,31808,87.1495205096666,0,0,"****"
"3","proportion","allo_totpig","chla_total",31808,31808,224.139555867918,0,0,"****"
"3","proportion","allo_totpig","chlb_totpig",31808,31808,-0.76456935097934,0.444528025541948,0.444528025541948,"ns"
"3","proportion","allo_totpig","dvchla_totpig",31808,31808,-3.78797253326198,0.000151881635171281,0.000160815849004886,"***"
"3","proportion","allo_totpig","fuco_totpig",31808,31808,311.726117337635,0,0,"****"
"3","proportion","allo_totpig","hex_totpig",31808,31808,273.673950568501,0,0,"****"
"3","proportion","allo_totpig","per_totpig",31808,31808,129.156139979788,0,0,"****"
"3","proportion","allo_totpig","zea_totpig",31808,31808,12.3041317566271,8.60568418555958e-35,9.38801911151954e-35,"****"
"3","proportion","but_totpig","chla_total",31808,31808,136.990035358252,0,0,"****"
"3","proportion","but_totpig","chlb_totpig",31808,31808,-87.9140898606459,0,0,"****"
"3","proportion","but_totpig","dvchla_totpig",31808,31808,-90.9374930429286,0,0,"****"
"3","proportion","but_totpig","fuco_totpig",31808,31808,224.576596827968,0,0,"****"
"3","proportion","but_totpig","hex_totpig",31808,31808,186.524430058834,0,0,"****"
"3","proportion","but_totpig","per_totpig",31808,31808,42.0066194701217,0,0,"****"
"3","proportion","but_totpig","zea_totpig",31808,31808,-74.8453887530395,0,0,"****"
"3","proportion","chla_total","chlb_totpig",31808,31808,-224.904125218898,0,0,"****"
"3","proportion","chla_total","dvchla_totpig",31808,31808,-227.92752840118,0,0,"****"
"3","proportion","chla_total","fuco_totpig",31808,31808,87.5865614697164,0,0,"****"
"3","proportion","chla_total","hex_totpig",31808,31808,49.5343947005824,0,0,"****"
"3","proportion","chla_total","per_totpig",31808,31808,-94.9834158881299,0,0,"****"
"3","proportion","chla_total","zea_totpig",31808,31808,-211.835424111291,0,0,"****"
"3","proportion","chlb_totpig","dvchla_totpig",31808,31808,-3.02340318228264,0.00249948993045602,0.00257090392846905,"**"
"3","proportion","chlb_totpig","fuco_totpig",31808,31808,312.490686688614,0,0,"****"
"3","proportion","chlb_totpig","hex_totpig",31808,31808,274.43851991948,0,0,"****"
"3","proportion","chlb_totpig","per_totpig",31808,31808,129.920709330768,0,0,"****"
"3","proportion","chlb_totpig","zea_totpig",31808,31808,13.0687011076065,4.97070175603136e-39,5.59203947553528e-39,"****"
"3","proportion","dvchla_totpig","fuco_totpig",31808,31808,315.514089870897,0,0,"****"
"3","proportion","dvchla_totpig","hex_totpig",31808,31808,277.461923101762,0,0,"****"
"3","proportion","dvchla_totpig","per_totpig",31808,31808,132.94411251305,0,0,"****"
"3","proportion","dvchla_totpig","zea_totpig",31808,31808,16.0921042898891,2.89817142494436e-58,3.36561842896764e-58,"****"
"3","proportion","fuco_totpig","hex_totpig",31808,31808,-38.052166769134,7.92750067640697e-317,9.51300081168837e-317,"****"
"3","proportion","fuco_totpig","per_totpig",31808,31808,-182.569977357846,0,0,"****"
"3","proportion","fuco_totpig","zea_totpig",31808,31808,-299.421985581007,0,0,"****"
"3","proportion","hex_totpig","per_totpig",31808,31808,-144.517810588712,0,0,"****"
"3","proportion","hex_totpig","zea_totpig",31808,31808,-261.369818811873,0,0,"****"
"3","proportion","per_totpig","zea_totpig",31808,31808,-116.852008223161,0,0,"****"
"4","proportion","allo_totpig","but_totpig",19918,19918,1.15810133765824,0.246822684196023,0.269261110032025,"ns"
"4","proportion","allo_totpig","chla_total",19918,19918,115.518459905634,0,0,"****"
"4","proportion","allo_totpig","chlb_totpig",19918,19918,0,1,1,"ns"
"4","proportion","allo_totpig","dvchla_totpig",19918,19918,215.155248228909,0,0,"****"
"4","proportion","allo_totpig","fuco_totpig",19918,19918,125.722782187983,0,0,"****"
"4","proportion","allo_totpig","hex_totpig",19918,19918,195.769585125228,0,0,"****"
"4","proportion","allo_totpig","per_totpig",19918,19918,0,1,1,"ns"
"4","proportion","allo_totpig","zea_totpig",19918,19918,252.879977090723,0,0,"****"
"4","proportion","but_totpig","chla_total",19918,19918,114.360358567976,0,0,"****"
"4","proportion","but_totpig","chlb_totpig",19918,19918,-1.15810133765824,0.246822684196023,0.269261110032025,"ns"
"4","proportion","but_totpig","dvchla_totpig",19918,19918,213.997146891251,0,0,"****"
"4","proportion","but_totpig","fuco_totpig",19918,19918,124.564680850325,0,0,"****"
"4","proportion","but_totpig","hex_totpig",19918,19918,194.611483787569,0,0,"****"
"4","proportion","but_totpig","per_totpig",19918,19918,-1.15810133765824,0.246822684196023,0.269261110032025,"ns"
"4","proportion","but_totpig","zea_totpig",19918,19918,251.721875753064,0,0,"****"
"4","proportion","chla_total","chlb_totpig",19918,19918,-115.518459905634,0,0,"****"
"4","proportion","chla_total","dvchla_totpig",19918,19918,99.6367883232752,0,0,"****"
"4","proportion","chla_total","fuco_totpig",19918,19918,10.2043222823489,1.89640438498158e-24,2.27568526197789e-24,"****"
"4","proportion","chla_total","hex_totpig",19918,19918,80.2511252195933,0,0,"****"
"4","proportion","chla_total","per_totpig",19918,19918,-115.518459905634,0,0,"****"
"4","proportion","chla_total","zea_totpig",19918,19918,137.361517185088,0,0,"****"
"4","proportion","chlb_totpig","dvchla_totpig",19918,19918,215.155248228909,0,0,"****"
"4","proportion","chlb_totpig","fuco_totpig",19918,19918,125.722782187983,0,0,"****"
"4","proportion","chlb_totpig","hex_totpig",19918,19918,195.769585125228,0,0,"****"
"4","proportion","chlb_totpig","per_totpig",19918,19918,0,1,1,"ns"
"4","proportion","chlb_totpig","zea_totpig",19918,19918,252.879977090723,0,0,"****"
"4","proportion","dvchla_totpig","fuco_totpig",19918,19918,-89.4324660409263,0,0,"****"
"4","proportion","dvchla_totpig","hex_totpig",19918,19918,-19.3856631036819,1.0198209934221e-83,1.26598468148951e-83,"****"
"4","proportion","dvchla_totpig","per_totpig",19918,19918,-215.155248228909,0,0,"****"
"4","proportion","dvchla_totpig","zea_totpig",19918,19918,37.7247288618132,1.95340004771538e-311,2.51151434706255e-311,"****"
"4","proportion","fuco_totpig","hex_totpig",19918,19918,70.0468029372444,0,0,"****"
"4","proportion","fuco_totpig","per_totpig",19918,19918,-125.722782187983,0,0,"****"
"4","proportion","fuco_totpig","zea_totpig",19918,19918,127.15719490274,0,0,"****"
"4","proportion","hex_totpig","per_totpig",19918,19918,-195.769585125228,0,0,"****"
"4","proportion","hex_totpig","zea_totpig",19918,19918,57.1103919654951,0,0,"****"
"4","proportion","per_totpig","zea_totpig",19918,19918,252.879977090723,0,0,"****"
"5","proportion","allo_totpig","but_totpig",94745,94745,12.029794950859,2.4777536337503e-33,2.70300396409124e-33,"****"
"5","proportion","allo_totpig","chla_total",94745,94745,373.6931571144,0,0,"****"
"5","proportion","allo_totpig","chlb_totpig",94745,94745,-0.673801766444436,0.50043735166887,0.514735561716552,"ns"
"5","proportion","allo_totpig","dvchla_totpig",94745,94745,-0.734345708838316,0.46273806645291,0.489957952714846,"ns"
"5","proportion","allo_totpig","fuco_totpig",94745,94745,466.553400971733,0,0,"****"
"5","proportion","allo_totpig","hex_totpig",94745,94745,555.023055469828,0,0,"****"
"5","proportion","allo_totpig","per_totpig",94745,94745,266.289751732614,0,0,"****"
"5","proportion","allo_totpig","zea_totpig",94745,94745,78.9811569242568,0,0,"****"
"5","proportion","but_totpig","chla_total",94745,94745,361.663362163541,0,0,"****"
"5","proportion","but_totpig","chlb_totpig",94745,94745,-12.7035967173035,5.64733543182318e-37,6.35325236080107e-37,"****"
"5","proportion","but_totpig","dvchla_totpig",94745,94745,-12.7641406596974,2.60004190301692e-37,3.01940350027771e-37,"****"
"5","proportion","but_totpig","fuco_totpig",94745,94745,454.523606020874,0,0,"****"
"5","proportion","but_totpig","hex_totpig",94745,94745,542.993260518969,0,0,"****"
"5","proportion","but_totpig","per_totpig",94745,94745,254.259956781755,0,0,"****"
"5","proportion","but_totpig","zea_totpig",94745,94745,66.9513619733978,0,0,"****"
"5","proportion","chla_total","chlb_totpig",94745,94745,-374.366958880844,0,0,"****"
"5","proportion","chla_total","dvchla_totpig",94745,94745,-374.427502823238,0,0,"****"
"5","proportion","chla_total","fuco_totpig",94745,94745,92.8602438573325,0,0,"****"
"5","proportion","chla_total","hex_totpig",94745,94745,181.329898355428,0,0,"****"
"5","proportion","chla_total","per_totpig",94745,94745,-107.403405381786,0,0,"****"
"5","proportion","chla_total","zea_totpig",94745,94745,-294.712000190143,0,0,"****"
"5","proportion","chlb_totpig","dvchla_totpig",94745,94745,-0.0605439423938803,0.95172241904764,0.95172241904764,"ns"
"5","proportion","chlb_totpig","fuco_totpig",94745,94745,467.227202738177,0,0,"****"
"5","proportion","chlb_totpig","hex_totpig",94745,94745,555.696857236273,0,0,"****"
"5","proportion","chlb_totpig","per_totpig",94745,94745,266.963553499058,0,0,"****"
"5","proportion","chlb_totpig","zea_totpig",94745,94745,79.6549586907012,0,0,"****"
"5","proportion","dvchla_totpig","fuco_totpig",94745,94745,467.287746680571,0,0,"****"
"5","proportion","dvchla_totpig","hex_totpig",94745,94745,555.757401178667,0,0,"****"
"5","proportion","dvchla_totpig","per_totpig",94745,94745,267.024097441452,0,0,"****"
"5","proportion","dvchla_totpig","zea_totpig",94745,94745,79.7155026330951,0,0,"****"
"5","proportion","fuco_totpig","hex_totpig",94745,94745,88.4696544980958,0,0,"****"
"5","proportion","fuco_totpig","per_totpig",94745,94745,-200.263649239119,0,0,"****"
"5","proportion","fuco_totpig","zea_totpig",94745,94745,-387.572244047476,0,0,"****"
"5","proportion","hex_totpig","per_totpig",94745,94745,-288.733303737214,0,0,"****"
"5","proportion","hex_totpig","zea_totpig",94745,94745,-476.041898545572,0,0,"****"
"5","proportion","per_totpig","zea_totpig",94745,94745,-187.308594808357,0,0,"****"
"6","proportion","allo_totpig","but_totpig",8207,8207,-77.9644228699942,0,0,"****"
"6","proportion","allo_totpig","chla_total",8207,8207,53.5967299817151,0,0,"****"
"6","proportion","allo_totpig","chlb_totpig",8207,8207,-61.6023069727575,0,0,"****"
"6","proportion","allo_totpig","dvchla_totpig",8207,8207,-79.2493914665321,0,0,"****"
"6","proportion","allo_totpig","fuco_totpig",8207,8207,85.3837583104324,0,0,"****"
"6","proportion","allo_totpig","hex_totpig",8207,8207,62.605639262104,0,0,"****"
"6","proportion","allo_totpig","per_totpig",8207,8207,-1.42921140504808,0.152943480643594,0.161940155975571,"ns"
"6","proportion","allo_totpig","zea_totpig",8207,8207,-61.9743577507806,0,0,"****"
"6","proportion","but_totpig","chla_total",8207,8207,131.561152851709,0,0,"****"
"6","proportion","but_totpig","chlb_totpig",8207,8207,16.3621158972367,3.56522172047366e-60,4.14025748184038e-60,"****"
"6","proportion","but_totpig","dvchla_totpig",8207,8207,-1.28496859653798,0.19880325809197,0.204483351180312,"ns"
"6","proportion","but_totpig","fuco_totpig",8207,8207,163.348181180427,0,0,"****"
"6","proportion","but_totpig","hex_totpig",8207,8207,140.570062132098,0,0,"****"
"6","proportion","but_totpig","per_totpig",8207,8207,76.5352114649461,0,0,"****"
"6","proportion","but_totpig","zea_totpig",8207,8207,15.9900651192136,1.49874262822274e-57,1.68608545675058e-57,"****"
"6","proportion","chla_total","chlb_totpig",8207,8207,-115.199036954473,0,0,"****"
"6","proportion","chla_total","dvchla_totpig",8207,8207,-132.846121448247,0,0,"****"
"6","proportion","chla_total","fuco_totpig",8207,8207,31.7870283287173,9.7812643906358e-222,1.30416858541811e-221,"****"
"6","proportion","chla_total","hex_totpig",8207,8207,9.00890928038892,2.08115955535952e-19,2.27035587857402e-19,"****"
"6","proportion","chla_total","per_totpig",8207,8207,-55.0259413867631,0,0,"****"
"6","proportion","chla_total","zea_totpig",8207,8207,-115.571087732496,0,0,"****"
