"year","community","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","y","variable"
"2018","3",3,1.93552158302529,0.153272661308726,0.391500525298148,86.2028417654014,34.9962135304042,212.335255126243,"a",6714.63033751871,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2018","4",1,3.26047422342846,0,0,1821.68894763559,1821.68894763559,1821.68894763559,"ab",57606.8626288366,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2018","5",2,3.46561716012094,0.000691178024227017,0.026290264818503,2921.5758107661,2749.96328333487,3103.89788466647,"b",98153.8694012465,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2021","1",1,3.91159193747377,0,0,8158.15471977515,8158.15471977515,8158.15471977515,"a",257983.504185422,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2021","2",1,3.82617506599425,0,0,6701.54697248806,6701.54697248806,6701.54697248806,"a",211921.52279668,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2021","3",2,3.05909230429466,0.000855063402738649,0.0292414671782838,1145.75643291444,1071.15134416176,1225.55772414413,"a",38755.5381230779,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2021","4",1,3.8093927912053,0,0,6447.52138402542,6447.52138402542,6447.52138402542,"a",203888.528361615,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2021","5",7,2.90160606690586,0.276758495542569,0.526078411971608,797.271182821947,237.425660545215,2677.2225777898,"a",84661.2114904308,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2021","6",1,3.25669089429988,0,0,1805.88834159158,1805.88834159158,1805.88834159158,"a",57107.2035937359,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2022","1",5,3.10252440306242,0.0802888788088017,0.283352922710887,1266.26441707132,659.434220196224,2431.51708666841,"a",76891.3216348922,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2022","2",4,3.32285800343214,0.108592095492596,0.329533147790319,2103.09070252919,984.747429055873,4491.49738558369,"a",142033.61843136,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2022","3",2,2.97989222065918,0.329549189930233,0.574063750754421,954.75561386356,254.582454840494,3580.60135281165,"a",113228.55667965,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2022","4",5,3.3898979184555,0.0822737633517049,0.286834034507248,2454.13200061816,1267.838348915,4750.419390305,"a",150221.451143922,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2022","5",7,3.21746349956419,0.145095400032632,0.3809139010756,1649.9223271779,686.356259074093,3966.22548382159,"a",125423.062426795,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2022","6",1,3.13109320729875,0,0,1352.36277308856,1352.36277308856,1352.36277308856,"a",42765.465857813,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2023","1",1,2.38374255570272,0,0,241.959431650635,241.959431650635,241.959431650635,"a",7651.42905375842,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2023","2",2,3.46432149097223,0.0331005656784238,0.181935608604868,2912.87260416441,1915.95754892743,4428.50459439532,"a",140041.611468094,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2023","3",1,2.7026126394637,0,0,504.211375390867,504.211375390867,504.211375390867,"a",15944.5636840131,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2023","4",2,3.43166900477704,0.0191737582789989,0.138469340574002,2701.89834178114,1964.2631271089,3716.53601219126,"a",117527.188045637,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2023","5",9,3.20728259173307,0.183848419672437,0.428775488656286,1611.69400966906,600.491830134554,4325.71677156889,"a",136791.17510948,"NASC (38 kHz) par communaute phytoplanctonique par annee"
"2023","6",2,3.08403540668657,0.138109623165145,0.37163103095025,1213.48777833957,515.70860230118,2855.39659724255,"a",90295.5687038092,"NASC (38 kHz) par communaute phytoplanctonique par annee"
