"n_train","n_test","rmse_test","r2_test","var_intra_fold_test","sd_intra_fold_test","mean_geo_dist_km","mean_covariate_dist","extrapolation_index","fold_id"
42190,361,0.19780452084853,0.331135211654562,0.0272853004041554,0.165182627428418,240.39443911822,0.730574498753638,3070.17332951537,"s_3_-5"
40349,3131,0.202671063062007,0.501262797426739,0.0163099003308914,0.127710220150509,286.873267232046,0.384922477376279,1402.76753079398,"s_-3_-1"
39743,1285,0.213700816990735,-0.561640451825717,0.026801490185188,0.163711606751592,227.383048229633,0.30925154629371,1110.59992571354,"s_-2_-3"
40896,3652,0.201039008687856,-0.949154908974839,0.0196769311173708,0.140274484912156,247.286296314471,1.2560568855395,3873.02157596114,"s_0_-3"
40681,3968,0.341150975960894,0.149041749160831,0.023100751517401,0.151989313826338,394.626238950459,1.01203052202355,3644.79345273958,"s_-2_6"
42190,257,0.244649334741992,-0.310771305088691,0.043113027498996,0.207636768177016,241.10320547143,0.236343322657166,993.211461759172,"s_4_-5"
44441,208,0.583114619902319,0.120775139987206,0.101302468051694,0.318280486445043,903.596429240491,0.468514585046848,1957.37402650467,"s_8_-8"
38295,1841,0.255161132834706,0.0533321130717322,0.0584675098385867,0.241800557978237,234.225703056134,0.67235860964131,2625.45024543957,"s_3_-4"
44571,65,0.306669406953948,0.0100529839075673,0.00664059455215105,0.0814898432453459,891.683044416195,0.896052555257125,11993.6232000838,"s_2_1"
35593,6015,0.217609922540806,0.303737382831099,0.0447235083639007,0.211479333183885,363.097335983813,0.558041286085255,1844.07688061795,"s_-3_1"
