"grid_id","mean_rmse_test","sd_rmse_test","mean_rmse_train","mean_r2_test","mtry","min.node.size","num.trees"
4,0.427534515052995,0.178939564407439,0.178945347900356,-1.03626901623968,2,10,300
1,0.434219945366683,0.188001026360408,0.1789072779097,-1.05688419727027,2,5,300
5,0.457028123639434,0.190257519896923,0.174661896803692,-1.34409819173213,3,10,300
2,0.460539824646779,0.186988196186495,0.174650690242424,-1.3558278882001,3,5,300
3,0.485858098985953,0.168623363785989,0.174042390149966,-1.89097117441922,4,5,300
6,0.487207526748762,0.180516787539548,0.17404865729849,-1.74683398430647,4,10,300
