"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","variable"
"2018","C1",24,0.00256123002530553,4.51002724717555e-06,0.00212368247324678,0.00256123002530553,0.000437547552058748,0.0046849124985523,"ab","allo_totpig"
"2018","C2",24,0.00423153828519874,1.51869755386108e-05,0.00389704702802144,0.00423153828519874,0.000334491257177294,0.00812858531322018,"ab","allo_totpig"
"2018","C3",24,0.00273757535248201,5.21447620010404e-06,0.00228352276102167,0.00273757535248201,0.000454052591460343,0.00502109811350369,"ab","allo_totpig"
"2018","C4",24,0.00404500427539235,1.20188106966094e-05,0.0034668156421433,0.00404500427539235,0.000578188633249057,0.00751181991753565,"a","allo_totpig"
"2018","C5",24,0.00533142168738668,2.58779485196785e-05,0.00508703730276066,0.00533142168738668,0.000244384384626019,0.0104184589901473,"a","allo_totpig"
"2018","C6",24,0.00322074205076525,8.00352708212953e-06,0.00282905056196059,0.00322074205076525,0.000391691488804659,0.00604979261272584,"ab","allo_totpig"
"2018","T1-2",24,0.00342287489575744,8.2906730872473e-06,0.00287935289383696,0.00342287489575744,0.000543522001920479,0.00630222778959441,"ab","allo_totpig"
"2018","T1-3",24,0.00180123491218041,6.83128507448671e-06,0.00261367271755411,0.00180123491218041,-0.000812437805373707,0.00441490762973452,"a","allo_totpig"
"2018","T2-3",24,0.00406123657327383,1.12966843521325e-05,0.0033610540537356,0.00406123657327383,0.000700182519538229,0.00742229062700943,"a","allo_totpig"
"2018","T3-4",24,0.00452093646972344,1.96117711973908e-05,0.00442851794592625,0.00452093646972344,9.24185237971909e-05,0.00894945441564968,"a","allo_totpig"
"2018","T4-6",24,0.000915885349500139,7.14795268292664e-07,0.000845455657200698,0.000915885349500139,7.04296922994413e-05,0.00176134100670084,"a","allo_totpig"
"2018","T4-5",24,0.00715902147938869,7.08476464353076e-05,0.00841710439731548,0.00715902147938869,-0.00125808291792679,0.0155761258767042,"a","allo_totpig"
"2018","T5-6",24,0.00491980979036002,2.42120795909818e-05,0.00492057716035241,0.00491980979036002,-7.67369992397439e-07,0.00984038695071243,"a","allo_totpig"
"2018","NA",24,0.00398149616903525,2.44190807823375e-05,0.00494156663238871,0.00398149616903525,-0.000960070463353458,0.00892306280142396,"a","allo_totpig"
"2021","0",3,0,0,0,0,0,0,"a","allo_totpig"
"2021","C1",50,0.00154937195753935,4.35406155366969e-06,0.00208663881725365,0.00154937195753935,-0.000537266859714298,0.00363601077479299,"a","allo_totpig"
"2021","C2",50,0.00234128075089036,5.88630920481612e-06,0.00242617171791613,0.00234128075089036,-8.48909670257726e-05,0.0047674524688065,"a","allo_totpig"
"2021","C3",50,0.00140575769480053,2.27667856369814e-06,0.00150886664874605,0.00140575769480053,-0.000103108953945526,0.00291462434354658,"a","allo_totpig"
"2021","C4",50,0.0020169578474982,4.37623181676234e-06,0.00209194450613833,0.0020169578474982,-7.49866586401264e-05,0.00410890235363653,"b","allo_totpig"
"2021","C5",50,0.0024681633671041,8.52232644560476e-06,0.00291930239023037,0.0024681633671041,-0.000451139023126268,0.00538746575733448,"b","allo_totpig"
"2021","C6",50,0.00176125538225196,3.85051375164819e-06,0.00196227259871002,0.00176125538225196,-0.000201017216458061,0.00372352798096199,"a","allo_totpig"
"2021","T1-2",50,0.00177387912102029,4.63956516316616e-06,0.0021539649865228,0.00177387912102029,-0.000380085865502511,0.00392784410754308,"a","allo_totpig"
"2021","T1-3",48,0.000378463940931671,1.51706453454071e-06,0.00123169173681596,0.000378463940931671,-0.000853227795884288,0.00161015567774763,"a","allo_totpig"
"2021","T2-3",50,0.0018446774193207,3.486992714192e-06,0.00186734911417014,0.0018446774193207,-2.26716948494327e-05,0.00371202653349084,"b","allo_totpig"
"2021","T3-4",50,0.00211506213734417,6.43022507532584e-06,0.00253578884675476,0.00211506213734417,-0.000420726709410587,0.00465085098409893,"b","allo_totpig"
"2021","T4-6",50,0.000669591003433355,1.53852245932482e-06,0.00124037190363408,0.000669591003433355,-0.00057078090020072,0.00190996290706743,"a","allo_totpig"
"2021","T4-5",50,0.00305535104754866,1.40272023782706e-05,0.00374529069342697,0.00305535104754866,-0.000689939645878311,0.00680064174097562,"b","allo_totpig"
"2021","T5-6",50,0.00254144300514378,5.38873585406955e-06,0.00232136508418421,0.00254144300514378,0.000220077920959572,0.00486280808932799,"b","allo_totpig"
"2021","NA",50,0.00309888578478774,3.1258816244101e-05,0.00559095843698565,0.00309888578478774,-0.00249207265219791,0.00868984422177339,"a","allo_totpig"
"2022","0",1,0,0,0,0,0,0,"a","allo_totpig"
"2022","C1",31,0.00249426560716002,4.63800859716862e-06,0.00215360363046885,0.00249426560716002,0.000340661976691167,0.00464786923762887,"ab","allo_totpig"
"2022","C2",31,0.00341446578529083,7.82192433829398e-06,0.00279677034064186,0.00341446578529083,0.000617695444648972,0.00621123612593269,"ab","allo_totpig"
"2022","C3",31,0.00209660918625187,2.95550198609939e-06,0.00171915734768502,0.00209660918625187,0.000377451838566848,0.00381576653393689,"ab","allo_totpig"
"2022","C4",31,0.00288265007445531,5.29754147475761e-06,0.00230163886714611,0.00288265007445531,0.000581011207309206,0.00518428894160142,"ab","allo_totpig"
"2022","C5",31,0.00347568193538265,6.58919691923035e-06,0.00256694310790682,0.00347568193538265,0.000908738827475827,0.00604262504328948,"ab","allo_totpig"
"2022","C6",31,0.00273141108039309,5.21737370183274e-06,0.00228415710970869,0.00273141108039309,0.000447253970684403,0.00501556819010177,"ab","allo_totpig"
"2022","T1-2",31,0.00266763807601609,5.07543246459073e-06,0.00225287204798469,0.00266763807601609,0.0004147660280314,0.00492051012400078,"a","allo_totpig"
"2022","T1-3",31,0.00140425972706208,1.10434878388199e-05,0.00332317436178422,0.00140425972706208,-0.00191891463472214,0.0047274340888463,"a","allo_totpig"
"2022","T2-3",31,0.00266961763653745,6.10084066193224e-06,0.00246998798821619,0.00266961763653745,0.000199629648321266,0.00513960562475364,"ab","allo_totpig"
"2022","T3-4",31,0.00280415059316484,5.92258477910119e-06,0.00243363612298577,0.00280415059316484,0.000370514470179078,0.00523778671615061,"ab","allo_totpig"
"2022","T4-6",31,0.000911200870162731,2.30781877932603e-06,0.00151915067696593,0.000911200870162731,-0.000607949806803196,0.00243035154712866,"a","allo_totpig"
"2022","T4-5",31,0.00416428676106666,1.41671550548848e-05,0.00376392814156764,0.00416428676106666,0.000400358619499014,0.0079282149026343,"ab","allo_totpig"
