"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","y","variable"
"2018","C1",2,2.89476826399343,0.000275306291864976,0.0165923564289397,784.816751022453,755.398133782253,815.381062171099,"a",25784.6131742803,"NASC"
"2018","T3-4",1,2.31488540030161,0,0,206.483522437132,206.483522437132,206.483522437132,"a",6529.5823019582,"NASC"
"2018","T4-5",1,1.90637830779435,0,0,80.6080300639104,80.6080300639104,80.6080300639104,"a",2549.04972701285,"NASC"
"2018","C2",10,2.11067537367529,0.433159734464464,0.658148717589318,129.02544740007,28.3482762393404,587.251441189412,"a",18570.5211337496,"NASC"
"2018","C3",9,2.29276074034954,0.491873095824673,0.701336649423565,196.227892871913,39.03229531271,986.500681870289,"a",31195.8906801929,"NASC"
"2018","C4",5,2.19889496932743,0.101643276366978,0.318815426802057,158.086567322362,75.8716523840472,329.389989310718,"a",10416.2260468039,"NASC"
"2018","C5",2,1.95985571106614,5.26782715453915e-05,0.00725797985291992,91.1707885439846,89.6597928657588,92.7072483446073,"a",2931.66060375834,"NASC"
"2018","T1-2",2,2.94161126048666,0.0304289024120854,0.174438821401904,874.200922588147,585.022324463929,1306.32152158338,"a",41309.5136470029,"NASC"
"2018","T2-3",5,1.90458857126075,0.538227370107819,0.733639809516781,80.2765262426449,14.823431873207,434.738778489886,"a",13747.6472722746,"NASC"
"2018","NA",6,2.16876414712881,0.152635732429447,0.390686232710402,147.490533697562,59.9898691173662,362.618852990535,"a",11467.0149796785,"NASC"
"2021","C1",5,1.98300806635855,0.0117873035617016,0.108569349089426,96.1630139033015,74.8925671124448,123.474539590591,"b",3904.60778146902,"NASC"
"2021","T3-4",4,2.27732599932625,0.0295446489076798,0.171885569224644,189.376462297423,127.47952309691,281.327099451289,"a",8896.34401794778,"NASC"
"2021","T5-6",1,2.37058773494889,0,0,234.740343062397,234.740343062397,234.740343062397,"a",7423.1414280648,"NASC"
"2021","C2",16,2.3608656774608,0.0853895995919332,0.292214988650365,229.543858423082,117.125292591286,449.863405025775,"a",14225.9299584029,"NASC"
"2021","C3",8,2.33886139013082,0.0574854314545782,0.239761196724112,218.203338069989,125.631976806476,378.9854936234,"a",11984.5736001316,"NASC"
"2021","C4",1,2.15501645846866,0,0,142.894811036667,142.894811036667,142.894811036667,"a",4518.73068695234,"NASC"
"2021","C5",2,2.33278779347644,0.022554934813479,0.15018300440955,215.173009176068,152.266648627507,304.068056236974,"a",9615.47621409004,"NASC"
"2021","C6",1,2.36686062001813,0,0,232.734421328267,232.734421328267,232.734421328267,"a",7359.70861318593,"NASC"
"2021","T1-2",2,2.09208679400497,0.010372013230424,0.10184308140676,123.61944629421,97.7785770085566,156.289526495662,"b",4942.30878155527,"NASC"
"2021","T2-3",3,2.16377417874199,0.0462086645453112,0.214962007213626,145.805591391728,88.8816629492627,239.186236796978,"a",7563.73293242828,"NASC"
"2021","NA",10,2.45510355645296,0.383747443784752,0.619473521455721,285.169816686709,68.4904524208845,1187.34541056023,"a",37547.1586671807,"NASC"
"2022","T3-4",2,2.20434497068881,0.0539720267199772,0.232318804060234,160.082910128611,93.7618497571982,273.315193563337,"a",8642.98530789936,"NASC"
"2022","T4-6",2,2.22972208439385,0.100482586556848,0.316989883997658,169.715725267106,81.7960252638766,352.137250068313,"a",11135.5575920415,"NASC"
"2022","T4-5",1,2.24907748470424,0,0,177.450605136768,177.450605136768,177.450605136768,"a",5611.48084407361,"NASC"
"2022","T5-6",1,1.85248100517788,0,0,71.2001658363339,71.2001658363339,71.2001658363339,"a",2251.54693824522,"NASC"
"2022","C2",7,2.29834770207393,0.111637733633497,0.334122333335408,198.768564867901,92.0927345246632,429.012588056708,"a",13566.5692314275,"NASC"
"2022","C3",6,2.36041277967629,0.0316586361754187,0.177928739037343,229.304606667545,152.22431927842,345.415258798345,"a",10922.9895637929,"NASC"
"2022","C4",5,2.33327285037865,0.0158188778991119,0.125773120733772,215.413466894511,161.250002353088,287.770301037915,"a",9100.09594232128,"NASC"
"2022","C5",3,2.15854355174973,0.0178499105707789,0.133603557478006,144.060046873693,105.910738000602,195.950830832022,"a",6196.50934831536,"NASC"
"2022","C6",6,1.97301540915344,0.0215161349816088,0.146683792498043,93.9756653372747,67.0396312274227,131.734401187621,"a",4165.80753951272,"NASC"
"2022","T2-3",4,2.67141669262251,0.0201104501225138,0.141811318739069,469.263410484492,338.53640177926,650.471108164969,"a",20569.7025393505,"NASC"
"2022","NA",2,2.13652162224516,0.0288812566472555,0.169944863550669,136.937256372723,92.592702217336,202.519331802997,"a",6404.22358712844,"NASC"
"2023","T3-4",3,2.04021366929788,0.0287158728828972,0.169457584318015,109.701778708517,74.2601949441621,162.058290593789,"a",5124.73311989815,"NASC"
"2023","T4-6",2,2.27735828110962,0.0242335175845141,0.15567118418164,189.390539467183,132.338770937696,271.037551471274,"a",8570.95994084346,"NASC"
