"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","variable"
"2018","C1",24,0.369543092721726,0.000963341584221393,0.0310377445092486,0.369543092721726,0.338505348212477,0.400580837230974,"a","fuco_totpig"
"2018","C2",24,0.354960381985707,0.000622017476010564,0.0249402781863107,0.354960381985707,0.330020103799397,0.379900660172018,"a","fuco_totpig"
"2018","C3",24,0.341056026828819,0.000890251531200143,0.0298370831550295,0.341056026828819,0.311218943673789,0.370893109983848,"a","fuco_totpig"
"2018","C4",24,0.365305075085079,0.000746969982022943,0.0273307515817429,0.365305075085079,0.337974323503336,0.392635826666822,"a","fuco_totpig"
"2018","C5",24,0.412747905901782,0.000559061778864696,0.023644487282762,0.412747905901782,0.38910341861902,0.436392393184544,"a","fuco_totpig"
"2018","C6",24,0.351438422034844,0.000773076365072363,0.0278042508453719,0.351438422034844,0.323634171189473,0.379242672880216,"a","fuco_totpig"
"2018","T1-2",24,0.343994097092023,0.00100442388614912,0.0316926471937755,0.343994097092023,0.312301449898247,0.375686744285798,"a","fuco_totpig"
"2018","T1-3",24,0.356701553043343,0.00283026430856541,0.0532002284634701,0.356701553043343,0.303501324579873,0.409901781506814,"ab","fuco_totpig"
"2018","T2-3",24,0.35437306598748,0.00102215502364699,0.0319711592477812,0.35437306598748,0.322401906739698,0.386344225235261,"a","fuco_totpig"
"2018","T3-4",24,0.382692007799332,0.000951811743480141,0.0308514463758207,0.382692007799332,0.351840561423512,0.413543454175153,"a","fuco_totpig"
"2018","T4-6",24,0.282801656600559,0.00131171433238774,0.0362175969990796,0.282801656600559,0.246584059601479,0.319019253599638,"a","fuco_totpig"
"2018","T4-5",24,0.399452861435762,0.00089406021362456,0.029900839680928,0.399452861435762,0.369552021754834,0.42935370111669,"a","fuco_totpig"
"2018","T5-6",24,0.364703172670885,0.000663366119827284,0.0257558948558827,0.364703172670885,0.338947277815003,0.390459067526768,"a","fuco_totpig"
"2018","NA",24,0.380692797521945,0.00140235907239774,0.0374480850297815,0.380692797521945,0.343244712492163,0.418140882551726,"a","fuco_totpig"
"2021","0",3,0.285370842471822,0.00974935510771756,0.098738822697648,0.285370842471822,0.186632019774175,0.38410966516947,"a","fuco_totpig"
"2021","C1",50,0.335502244125574,0.00114586470832442,0.0338506234554759,0.335502244125574,0.301651620670098,0.36935286758105,"b","fuco_totpig"
"2021","C2",50,0.333099691647793,0.000797127891997689,0.0282334534196171,0.333099691647793,0.304866238228176,0.36133314506741,"b","fuco_totpig"
"2021","C3",50,0.30515053455247,0.0012401909362383,0.0352163447313644,0.30515053455247,0.269934189821106,0.340366879283835,"b","fuco_totpig"
"2021","C4",50,0.340072125462841,0.000897373709813286,0.0299561965178039,0.340072125462841,0.310115928945037,0.370028321980645,"b","fuco_totpig"
"2021","C5",50,0.386630253944853,0.000835150586667411,0.0288989720693905,0.386630253944853,0.357731281875462,0.415529226014243,"b","fuco_totpig"
"2021","C6",50,0.321282065390011,0.000995611350914057,0.0315533096665636,0.321282065390011,0.289728755723447,0.352835375056574,"b","fuco_totpig"
"2021","T1-2",50,0.313480362858512,0.00108419331725695,0.0329270909321936,0.313480362858512,0.280553271926318,0.346407453790705,"b","fuco_totpig"
"2021","T1-3",48,0.31819785708871,0.00681237126473959,0.0825370902366905,0.31819785708871,0.23566076685202,0.400734947325401,"a c","fuco_totpig"
"2021","T2-3",50,0.331248704641224,0.000890044369464943,0.0298336114050067,0.331248704641224,0.301415093236218,0.361082316046231,"b","fuco_totpig"
"2021","T3-4",50,0.357142098863862,0.000985888420744877,0.0313988601822563,0.357142098863862,0.325743238681606,0.388540959046119,"b","fuco_totpig"
"2021","T4-6",50,0.224432921031225,0.00108262175815702,0.0329032180516895,0.224432921031225,0.191529702979535,0.257336139082914,"b","fuco_totpig"
"2021","T4-5",50,0.382838037895492,0.00078684821913067,0.0280508149459275,0.382838037895492,0.354787222949564,0.410888852841419,"a","fuco_totpig"
"2021","T5-6",50,0.356276459761667,0.000710700033900921,0.0266589578547422,0.356276459761667,0.329617501906925,0.382935417616409,"a","fuco_totpig"
"2021","NA",50,0.351018771718261,0.00175320697766148,0.0418713144964602,0.351018771718261,0.309147457221801,0.392890086214721,"b","fuco_totpig"
"2022","0",1,0.116554249992004,0,0,0.116554249992004,0.116554249992004,0.116554249992004,"a","fuco_totpig"
"2022","C1",31,0.321232694401674,0.00139557374516826,0.037357378724534,0.321232694401674,0.28387531567714,0.358590073126208,"b","fuco_totpig"
"2022","C2",31,0.310845429542695,0.00061753268800146,0.0248502049891235,0.310845429542695,0.285995224553571,0.335695634531819,"c","fuco_totpig"
"2022","C3",31,0.286462480626184,0.0010190913876823,0.0319232107984503,0.286462480626184,0.254539269827734,0.318385691424635,"b","fuco_totpig"
"2022","C4",31,0.317924866649026,0.000738825001592513,0.0271813355373225,0.317924866649026,0.290743531111704,0.345106202186349,"c","fuco_totpig"
"2022","C5",31,0.36273104451458,0.000891619300607026,0.0298599949867214,0.36273104451458,0.332871049527859,0.392591039501301,"c","fuco_totpig"
"2022","C6",31,0.303436956189114,0.000846544418250443,0.0290954363818528,0.303436956189114,0.274341519807261,0.332532392570967,"c","fuco_totpig"
"2022","T1-2",31,0.291107995271322,0.000896108323373301,0.0299350684544616,0.291107995271322,0.261172926816861,0.321043063725784,"c","fuco_totpig"
"2022","T1-3",31,0.298098190733316,0.00720712067965275,0.0848947623805659,0.298098190733316,0.21320342835275,0.382992953113882,"c","fuco_totpig"
"2022","T2-3",31,0.309759228369529,0.000874353349959303,0.0295694665146212,0.309759228369529,0.280189761854908,0.33932869488415,"c","fuco_totpig"
"2022","T3-4",31,0.3380533609085,0.000841434950134704,0.0290074981708989,0.3380533609085,0.309045862737601,0.367060859079399,"c","fuco_totpig"
"2022","T4-6",31,0.195454071610407,0.00129201631987516,0.0359446285260422,0.195454071610407,0.159509443084364,0.231398700136449,"c","fuco_totpig"
"2022","T4-5",31,0.355118013838258,0.000803192968032137,0.028340659273068,0.355118013838258,0.32677735456519,0.383458673111326,"b","fuco_totpig"
"2022","T5-6",31,0.327565461015,0.000596148560939254,0.0244161536884755,0.327565461015,0.303149307326524,0.351981614703475,"b","fuco_totpig"
"2022","NA",31,0.33511326701361,0.000967588748841726,0.0311060886136738,0.33511326701361,0.304007178399937,0.366219355627284,"b","fuco_totpig"
"2023","C1",28,0.388341840692947,0.000679618219639242,0.0260694882887878,0.388341840692947,0.36227235240416,0.414411328981735,"a","fuco_totpig"
"2023","C2",28,0.386202847693658,0.000467883277634389,0.0216306097379244,0.386202847693658,0.364572237955734,0.407833457431583,"d","fuco_totpig"
"2023","C3",28,0.362906085914161,0.000666216435514025,0.0258111688134037,0.362906085914161,0.337094917100757,0.388717254727564,"a","fuco_totpig"
"2023","C4",28,0.390350695500993,0.000441300710188151,0.0210071585462706,0.390350695500993,0.369343536954722,0.411357854047264,"d","fuco_totpig"
"2023","C5",28,0.424843142710473,0.00018974574125102,0.0137748227302938,0.424843142710473,0.411068319980179,0.438617965440766,"a","fuco_totpig"
"2023","C6",28,0.376594871265658,0.000611149111342771,0.0247214302042331,0.376594871265658,0.351873441061425,0.401316301469891,"d","fuco_totpig"
"2023","T1-2",28,0.373908708690443,0.000686486268803791,0.02620088297756,0.373908708690443,0.347707825712883,0.400109591668003,"d","fuco_totpig"
"2023","T1-3",28,0.383869030663368,0.00218294971787011,0.0467220474494656,0.383869030663368,0.337146983213902,0.430591078112833,"b","fuco_totpig"
"2023","T2-3",28,0.383335738345987,0.000559439922306359,0.0236524823709132,0.383335738345987,0.359683255975074,0.4069882207169,"d","fuco_totpig"
"2023","T3-4",28,0.403492769609246,0.000338161369703768,0.0183891644645364,0.403492769609246,0.38510360514471,0.421881934073783,"a","fuco_totpig"
"2023","T4-6",28,0.284721775209607,0.00116067312253206,0.0340686530777496,0.284721775209607,0.250653122131857,0.318790428287356,"a","fuco_totpig"
"2023","T4-5",28,0.422476250265456,0.000188598583719213,0.0137331199557571,0.422476250265456,0.408743130309699,0.436209370221214,"c","fuco_totpig"
"2023","T5-6",28,0.396533016038378,0.000237718830282407,0.0154181331646347,0.396533016038378,0.381114882873744,0.411951149203013,"c","fuco_totpig"
"2023","NA",28,0.401723848924201,0.000971990612073227,0.0311767639769304,0.401723848924201,0.370547084947271,0.432900612901132,"a","fuco_totpig"
