"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","variable"
"2018","C1",24,0.0569903227258341,0.000422400496686781,0.0205523842093024,0.0569903227258341,0.0364379385165318,0.0775427069351365,"a","zea_totpig"
"2018","C2",24,0.0601182550798111,0.000297089740254301,0.0172362913718207,0.0601182550798111,0.0428819637079903,0.0773545464516318,"a","zea_totpig"
"2018","C3",24,0.0757618126393957,0.000564181642253771,0.0237525081255385,0.0757618126393957,0.0520093045138573,0.0995143207649342,"a","zea_totpig"
"2018","C4",24,0.0551887011720302,0.000299942970436639,0.0173188616957535,0.0551887011720302,0.0378698394762767,0.0725075628677837,"a","zea_totpig"
"2018","C5",24,0.023798041827588,7.6210221371128e-05,0.00872984658348175,0.023798041827588,0.0150681952441062,0.0325278884110697,"a","zea_totpig"
"2018","C6",24,0.0664606201617179,0.000429427514040791,0.0207226328935488,0.0664606201617179,0.0457379872681691,0.0871832530552667,"a","zea_totpig"
"2018","T1-2",24,0.0751491611877529,0.000737023539062144,0.027148177453784,0.0751491611877529,0.048000983733969,0.102297338641537,"a","zea_totpig"
"2018","T1-3",24,0.0667681148584805,0.00218078662687282,0.0466988932082209,0.0667681148584805,0.0200692216502595,0.113467008066701,"ab","zea_totpig"
"2018","T2-3",24,0.062996455273003,0.000524956588071574,0.0229119311292517,0.062996455273003,0.0400845241437513,0.0859083864022547,"a","zea_totpig"
"2018","T3-4",24,0.0430839227194478,0.000290881425559749,0.0170552462767252,0.0430839227194478,0.0260286764427226,0.060139168996173,"a","zea_totpig"
"2018","T4-6",24,0.119692945442977,0.00166499779779715,0.0408043845413351,0.119692945442977,0.0788885609016418,0.160497329984312,"a","zea_totpig"
"2018","T4-5",24,0.0286350064971823,9.45068362304767e-05,0.00972146265900748,0.0286350064971823,0.0189135438381748,0.0383564691561897,"a","zea_totpig"
"2018","T5-6",24,0.0464125167952911,0.000150568411838968,0.0122706320879964,0.0464125167952911,0.0341418847072947,0.0586831488832876,"a","zea_totpig"
"2018","NA",24,0.0427105062484751,0.000799500137369597,0.0282754334603308,0.0427105062484751,0.0144350727881443,0.070985939708806,"a","zea_totpig"
"2021","0",3,0.138931263738619,0.0186548280205636,0.136582678332809,0.138931263738619,0.0023485854058099,0.275513942071428,"a","zea_totpig"
"2021","C1",50,0.0924022932567428,0.00109115220955675,0.0330325931400602,0.0924022932567428,0.0593697001166826,0.125434886396803,"b","zea_totpig"
"2021","C2",50,0.0906668472106594,0.000729244794493249,0.0270045328508613,0.0906668472106594,0.0636623143597981,0.117671380061521,"b","zea_totpig"
"2021","C3",50,0.122205880225881,0.00138053865669882,0.037155600610121,0.122205880225881,0.0850502796157603,0.159361480836002,"b","zea_totpig"
"2021","C4",50,0.0852529582309538,0.000749071092473161,0.0273691631672063,0.0852529582309538,0.0578837950637475,0.11262212139816,"b","zea_totpig"
"2021","C5",50,0.0414329796890394,0.000421179112634748,0.0205226487723868,0.0414329796890394,0.0209103309166527,0.0619556284614262,"b","zea_totpig"
"2021","C6",50,0.105253888901223,0.00105974101044712,0.0325536635487792,0.105253888901223,0.072700225352444,0.137807552450002,"b","zea_totpig"
"2021","T1-2",50,0.115853201212292,0.00125080527455648,0.0353667255277681,0.115853201212292,0.0804864756845235,0.15121992674006,"b","zea_totpig"
"2021","T1-3",48,0.112284025970964,0.00842432324965481,0.0917841121853603,0.112284025970964,0.0204999137856033,0.204068138156324,"a c","zea_totpig"
"2021","T2-3",50,0.0921561637412245,0.000827930933438504,0.028773789000382,0.0921561637412245,0.0633823747408425,0.120929952741606,"b","zea_totpig"
"2021","T3-4",50,0.0687188097127736,0.000756986612769671,0.0275133896997384,0.0687188097127736,0.0412054200130352,0.096232199412512,"b","zea_totpig"
"2021","T4-6",50,0.205104400030175,0.00201429460508746,0.0448808935415446,0.205104400030175,0.16022350648863,0.249985293571719,"b","zea_totpig"
"2021","T4-5",50,0.0431093180879198,0.000347461555648821,0.0186403206959757,0.0431093180879198,0.0244689973919441,0.0617496387838955,"b","zea_totpig"
"2021","T5-6",50,0.0621755355808802,0.000325252727650565,0.0180347644190481,0.0621755355808802,0.044140771161832,0.0802102999999283,"b","zea_totpig"
