"variable","year","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter"
"Chla","2018",24,-0.681391817404279,0.00380068860159519,0.0616497250731517,0.208261111827545,0.180700126887606,0.240025789946583,"a"
"Chla","2021",50,-0.786062498036925,0.00533887986666665,0.0730676389837981,0.163658098894162,0.138315185325222,0.19364448864146,"b"
"Chla","2022",31,-0.804973282442467,0.00240489842844846,0.0490397637478859,0.156684745873665,0.139954527965212,0.175414900442502,"b"
"Chla","2023",28,-0.792874403536735,0.00233780675225644,0.048350871266777,0.161111149568903,0.144136749949681,0.180084555288467,"b"
