"ratio_name","year","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","y"
"allo_totpig","2018",24,0.00380392411989773,1.1527633376054e-05,0.0033952368659718,0.00380392411989773,0.000408687253925932,0.00719916098586953,"ab",0.793606652177924
"allo_totpig","2021",50,0.00201721560490193,4.87035066843357e-06,0.00220688709915881,0.00201721560490193,-0.000189671494256874,0.00422410270406074,"a",0.793606652177924
"allo_totpig","2022",31,0.00298628209519907,5.8084817957557e-06,0.00241007920943601,0.00298628209519907,0.000576202885763062,0.00539636130463508,"ab",0.793606652177924
"allo_totpig","2023",28,0.0047078248396618,1.12842618641805e-05,0.00335920554062721,0.0047078248396618,0.00134861929903459,0.00806703038028901,"b",0.793606652177924
"but_totpig","2018",24,0.0331602831934337,6.70871483564262e-05,0.00819067447506164,0.0331602831934337,0.0249696087183721,0.0413509576684953,"a",0.793606652177924
"but_totpig","2021",50,0.0205130905874743,9.85815341545445e-05,0.00992882340232439,0.0205130905874743,0.0105842671851499,0.0304419139897987,"b",0.793606652177924
"but_totpig","2022",31,0.0181024854576477,5.5810097626699e-05,0.00747061561229722,0.0181024854576477,0.0106318698453504,0.0255731010699449,"b",0.793606652177924
"but_totpig","2023",28,0.0122175651278688,1.4416241358065e-05,0.0037968725759584,0.0122175651278688,0.00842069255191037,0.0160144377038272,"c",0.793606652177924
"chlb_totpig","2018",24,0.028412365669839,0.000101972932597255,0.0100981648133339,0.028412365669839,0.0183142008565051,0.0385105304831729,"a",0.793606652177924
"chlb_totpig","2021",50,0.0178479663541252,0.000105305949044111,0.0102618686916229,0.0178479663541252,0.00758609766250223,0.0281098350457481,"b",0.793606652177924
"chlb_totpig","2022",31,0.0170644908713643,6.16134504898487e-05,0.00784942357691625,0.0170644908713643,0.00921506729444801,0.0249139144482805,"b",0.793606652177924
"chlb_totpig","2023",28,0.00714716825299658,1.11019656539187e-05,0.0033319612323553,0.00714716825299658,0.00381520702064128,0.0104791294853519,"c",0.793606652177924
"dvchla_totpig","2018",24,0.0168173502620297,0.000112107249165925,0.0105880710786207,0.0168173502620297,0.00622927918340901,0.0274054213406504,"a",0.793606652177924
"dvchla_totpig","2021",50,0.0389131695196268,0.000368574389737674,0.019198291323388,0.0389131695196268,0.0197148781962388,0.0581114608430148,"b",0.793606652177924
"dvchla_totpig","2022",31,0.0451299066706692,0.000331359138906413,0.0182032727526237,0.0451299066706692,0.0269266339180455,0.0633331794232929,"b",0.793606652177924
"dvchla_totpig","2023",28,0.0160527129397777,0.000103478180574548,0.0101724225519071,0.0160527129397777,0.00588029038787065,0.0262251354916848,"a",0.793606652177924
"fuco_totpig","2018",24,0.363227800836563,0.000728180403169245,0.0269848180125278,0.363227800836563,0.336242982824035,0.39021261884909,"a",0.793606652177924
"fuco_totpig","2021",50,0.33688117925277,0.000873462489561435,0.029554398819151,0.33688117925277,0.307326780433619,0.366435578071921,"b",0.793606652177924
"fuco_totpig","2022",31,0.316745516418426,0.00076181313027938,0.0276009624882789,0.316745516418426,0.289144553930147,0.344346478906705,"c",0.793606652177924
"fuco_totpig","2023",28,0.389016782286063,0.000476462603327059,0.0218280233490589,0.389016782286063,0.367188758937004,0.410844805635122,"d",0.793606652177924
"hex_totpig","2018",24,0.455877593364495,0.000140342090754844,0.0118466067190079,0.455877593364495,0.444030986645487,0.467724200083503,"a",0.793606652177924
"hex_totpig","2021",50,0.457531429099315,0.00031257850426279,0.0176798898260931,0.457531429099315,0.439851539273222,0.475211318925408,"a",0.793606652177924
"hex_totpig","2022",31,0.459106802644554,0.000284586807457624,0.0168697008704252,0.459106802644554,0.442237101774129,0.475976503514979,"a",0.793606652177924
"hex_totpig","2023",28,0.486770867256554,0.000183369453191464,0.0135413977561943,0.486770867256554,0.473229469500359,0.500312265012748,"b",0.793606652177924
"per_totpig","2018",24,0.0414744403580623,1.36968571455305e-05,0.00370092652528128,0.0414744403580623,0.037773513832781,0.0451753668833435,"a",0.793606652177924
"per_totpig","2021",50,0.0372164807093527,1.89883306289742e-05,0.00435756016928902,0.0372164807093527,0.0328589205400637,0.0415740408786417,"b",0.793606652177924
"per_totpig","2022",31,0.0356888247234913,1.77267111431569e-05,0.00421031010059317,0.0356888247234913,0.0314785146228982,0.0398991348240845,"b",0.793606652177924
"per_totpig","2023",28,0.0431390115641987,1.15411421948642e-05,0.00339722566145733,0.0431390115641987,0.0397417859027414,0.046536237225656,"a",0.793606652177924
"zea_totpig","2018",24,0.0572262421956797,0.000330308617637687,0.0181743945604162,0.0572262421956797,0.0390518476352635,0.0754006367560959,"a",0.793606652177924
"zea_totpig","2021",50,0.089079468872434,0.000795116151340614,0.0281978040162814,0.089079468872434,0.0608816648561526,0.117277272888715,"b",0.793606652177924
"zea_totpig","2022",31,0.105175691118648,0.000748763870934105,0.0273635500426042,0.105175691118648,0.0778121410760441,0.132539241161253,"c",0.793606652177924
"zea_totpig","2023",28,0.0409480677328795,0.000320416725374261,0.0179001878586304,0.0409480677328795,0.0230478798742491,0.0588482555915099,"a",0.793606652177924
