"variable","year","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","y"
"NASC","2018",22,2.23239582317609,0.29122492680554,0.539652598257008,170.763804953883,49.288230286548,591.627593703367,"a",5916.27593703367
"NASC","2021",29,2.30106187665476,0.0785579774852751,0.280281960684727,200.014682277719,104.901069495789,381.367638280015,"a",3813.67638280015
"NASC","2022",19,2.25061159456328,0.0455510409736172,0.213426898430393,178.078543353179,108.93932904449,291.097511623548,"a",2910.97511623548
"NASC","2023",26,2.156167103682,0.0382845219971973,0.195664309461888,143.273906888205,91.3067309885048,224.81817246961,"a",2248.1817246961
