"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","val_min","val_max","y","variable"
"2018","C1",24,0.0323426200343311,1.721012225165e-06,0.0013118735553265,0.0323426200343311,0.0310307464790046,0.0336544935896576,"a",0.0123861649289458,0.109873922802943,0.101113627951833,"per_chla"
"2018","C2",24,0.0319728281300278,1.79865878352575e-06,0.00134114085148643,0.0319728281300278,0.0306316872785413,0.0333139689815142,"a",0.0102756663552599,0.10715974444764,0.101113627951833,"per_chla"
"2018","C3",24,0.0324954820855643,1.48138472608011e-06,0.00121712149191447,0.0324954820855643,0.0312783605936498,0.0337126035774787,"a",0.0109150441055701,0.127920179696709,0.101113627951833,"per_chla"
"2018","C4",24,0.0394351854181454,2.90088153108747e-05,0.00538598322601127,0.0394351854181454,0.0340492021921342,0.0448211686441567,"a",0.0101974436986573,0.128718378203608,0.101113627951833,"per_chla"
"2018","C5",24,0.0368197157534672,2.60543984720233e-06,0.00161413749327693,0.0368197157534672,0.0352055782601903,0.0384338532467442,"a",0.0108771058942486,0.102934225109924,0.101113627951833,"per_chla"
"2018","C6",24,0.0440838805056574,4.50613044226116e-06,0.0021227648108684,0.0440838805056574,0.041961115694789,0.0462066453165258,"a",0.0187263296084682,0.0961531317666935,0.101113627951833,"per_chla"
"2018","T1-2",24,0.032772721523228,5.57594808621397e-06,0.00236134455050803,0.032772721523228,0.03041137697272,0.035134066073736,"a",0.0132963567497164,0.0870738366407238,0.101113627951833,"per_chla"
"2018","T1-3",15,0.0321556268912902,1.03482152983624e-05,0.0032168642026611,0.0321556268912902,0.0289387626886291,0.0353724910939513,"a",0.0190748934664584,0.0664751582085322,0.101113627951833,"per_chla"
"2018","T2-3",24,0.031588214393083,1.79317350378658e-06,0.00133909428487563,0.031588214393083,0.0302491201082074,0.0329273086779587,"a",0.0108506810080352,0.10821323161181,0.101113627951833,"per_chla"
"2018","T3-4",24,0.0332954911706142,9.37984013644774e-06,0.00306265246746146,0.0332954911706142,0.0302328387031528,0.0363581436380757,"a",0.0111509312456225,0.126464967780127,0.101113627951833,"per_chla"
