"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","val_min","val_max","y","variable"
"2018","C1",24,0.0291991486451697,0.000103494607059016,0.0101732299226458,0.0291991486451697,0.0190259187225239,0.0393723785678155,"a",0.00415858276327554,0.705945824024484,0.750750784996949,"zea_chla"
"2018","C2",24,0.0278888441465072,7.85051892701921e-05,0.008860315415954,0.0278888441465072,0.0190285287305532,0.0367491595624612,"a",0.00332672030939468,0.702614618918038,0.750750784996949,"zea_chla"
"2018","C3",24,0.0388789971392662,6.57724865182032e-05,0.00811002382969392,0.0388789971392662,0.0307689733095722,0.0469890209689601,"a",0.00345532411901297,0.670579672979078,0.750750784996949,"zea_chla"
"2018","C4",24,0.0485090001244237,0.000167796282948833,0.0129536204571862,0.0485090001244237,0.0355553796672375,0.0614626205816099,"a",0.00331523093050384,0.626874889341534,0.750750784996949,"zea_chla"
"2018","C5",24,0.0876023835669341,0.000572497839844322,0.02392692708737,0.0876023835669341,0.0636754564795641,0.111529310654304,"a",0.0035477323108642,0.727214672254547,0.750750784996949,"zea_chla"
"2018","C6",24,0.203556036497725,0.00813805409124788,0.0902111638947635,0.203556036497725,0.113344872602962,0.293767200392489,"a",0.00598285210787509,0.765445342632107,0.750750784996949,"zea_chla"
"2018","T1-2",23,0.0332821486557371,0.000153322767969533,0.0123823571249392,0.0332821486557371,0.0208997915307979,0.0456645057806764,"a",0.00424934537775129,0.709625109068464,0.750750784996949,"zea_chla"
"2018","T1-3",6,0.0238871926078701,9.19122074732456e-05,0.00958708545248479,0.0238871926078701,0.0143001071553853,0.0334742780603548,"a",0.00631539919232032,0.217901019050731,0.750750784996949,"zea_chla"
"2018","T2-3",22,0.0307898930541046,0.000116321823089714,0.0107852595281576,0.0307898930541046,0.020004633525947,0.0415751525822622,"a",0.00340002656304821,0.620083275316813,0.750750784996949,"zea_chla"
"2018","T3-4",24,0.0389995760634753,0.00015634467369875,0.0125037863744847,0.0389995760634753,0.0264957896889906,0.05150336243796,"a",0.0037276486171277,0.557467320954498,0.750750784996949,"zea_chla"
"2018","T4-6",20,0.0709001161563636,0.00484518301899813,0.0696073488864368,0.0709001161563636,0.00129276726992683,0.1405074650428,"ab",0.00634191392391409,0.661926669128743,0.750750784996949,"zea_chla"
"2018","T4-5",24,0.0462103922821406,0.000182787443314242,0.0135198906546703,0.0462103922821406,0.0326905016274702,0.0597302829368109,"ab",0.00354150508762346,0.608197708337323,0.750750784996949,"zea_chla"
"2018","T5-6",24,0.180834440265718,0.00805245066697113,0.0897354482184779,0.180834440265718,0.0910989920472397,0.270569888484195,"a",0.00624621350719451,0.795093476560771,0.750750784996949,"zea_chla"
"2018","NA",20,0.04055399872703,0.00044730152315034,0.0211495040875747,0.04055399872703,0.0194044946394553,0.0617035028146048,"a",0.00337950327007749,0.589328151591277,0.750750784996949,"zea_chla"
"2021","C1",50,0.131818948120062,0.0102131313374739,0.101060038281577,0.131818948120062,0.0307589098384848,0.23287898640164,"b",0.00415858276327554,0.705945824024484,0.750750784996949,"zea_chla"
"2021","C2",50,0.119608383329237,0.00744266575016547,0.0862708858779453,0.119608383329237,0.0333374974512915,0.205879269207182,"b",0.00332672030939468,0.702614618918038,0.750750784996949,"zea_chla"
"2021","C3",50,0.0556384130178874,0.000546617814697022,0.0233798591676045,0.0556384130178874,0.0322585538502829,0.079018272185492,"a",0.00345532411901297,0.670579672979078,0.750750784996949,"zea_chla"
"2021","C4",50,0.0697963564910668,0.000580162510271645,0.0240865628571543,0.0697963564910668,0.0457097936339125,0.0938829193482211,"b",0.00331523093050384,0.626874889341534,0.750750784996949,"zea_chla"
"2021","C5",50,0.140334550480478,0.00311676808452458,0.0558280223948922,0.140334550480478,0.0845065280855859,0.19616257287537,"b",0.0035477323108642,0.727214672254547,0.750750784996949,"zea_chla"
"2021","C6",50,0.357739424312019,0.00591465824958969,0.0769068153650227,0.357739424312019,0.280832608946997,0.434646239677042,"b",0.00598285210787509,0.765445342632107,0.750750784996949,"zea_chla"
"2021","T1-2",50,0.155881077170873,0.012589811782739,0.112204330499045,0.155881077170873,0.0436767466718274,0.268085407669918,"b",0.00424934537775129,0.709625109068464,0.750750784996949,"zea_chla"
"2021","T1-3",12,0.0559794150577959,0.00276492309659959,0.0525825360419178,0.0559794150577959,0.00339687901587807,0.108561951099714,"a",0.00631539919232032,0.217901019050731,0.750750784996949,"zea_chla"
"2021","T2-3",49,0.053147532835792,0.00078353989324612,0.0279917826021517,0.053147532835792,0.0251557502336403,0.0811393154379437,"b",0.00340002656304821,0.620083275316813,0.750750784996949,"zea_chla"
"2021","T3-4",47,0.0654481650233413,0.00103510600093978,0.0321730632818788,0.0654481650233413,0.0332751017414625,0.0976212283052201,"b",0.0037276486171277,0.557467320954498,0.750750784996949,"zea_chla"
"2021","T4-6",47,0.107150002136664,0.00259917687348016,0.0509821230774098,0.107150002136664,0.0561678790592545,0.158132125214074,"a",0.00634191392391409,0.661926669128743,0.750750784996949,"zea_chla"
"2021","T4-5",50,0.0588854688543999,0.000554740977670619,0.0235529398944297,0.0588854688543999,0.0353325289599701,0.0824384087488296,"a",0.00354150508762346,0.608197708337323,0.750750784996949,"zea_chla"
"2021","T5-6",50,0.312379616344715,0.0107675846814556,0.103766972980114,0.312379616344715,0.208612643364601,0.416146589324828,"b",0.00624621350719451,0.795093476560771,0.750750784996949,"zea_chla"
"2021","NA",46,0.0655167340484934,0.00526532356401774,0.0725625493213803,0.0655167340484934,-0.00704581527288685,0.138079283369874,"a",0.00337950327007749,0.589328151591277,0.750750784996949,"zea_chla"
"2022","C1",31,0.191260956386392,0.012747271299045,0.112903814368891,0.191260956386392,0.0783571420175012,0.304164770755284,"c",0.00415858276327554,0.705945824024484,0.750750784996949,"zea_chla"
"2022","C2",31,0.096980308644744,0.00511397349972558,0.0715120514299903,0.096980308644744,0.0254682572147537,0.168492360074734,"bc",0.00332672030939468,0.702614618918038,0.750750784996949,"zea_chla"
