"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","val_min","val_max","y","variable"
"2018","C1",21,0.0289693706381729,0.000138744264042574,0.0117789755090404,0.0289693706381729,0.0171903951291324,0.0407483461472133,"a",0.00570104173702855,0.268635182274281,0.212994994758021,"allo_chla"
"2018","C2",24,0.0284541670077687,0.000118392852829907,0.0108808479830346,0.0284541670077687,0.0175733190247342,0.0393350149908033,"a",0.00563266871586576,0.328473088374472,0.212994994758021,"allo_chla"
"2018","C3",24,0.0219100403599131,1.15519327051714e-05,0.00339881342606084,0.0219100403599131,0.0185112269338522,0.0253088537859739,"a",0.00546336950587979,0.347441699743598,0.212994994758021,"allo_chla"
"2018","C4",24,0.0239769045855924,3.50370390683284e-05,0.00591920932797011,0.0239769045855924,0.0180576952576223,0.0298961139135625,"a",0.00478469749929786,0.34750370884236,0.212994994758021,"allo_chla"
"2018","C5",24,0.0210914193269294,3.8781407337554e-05,0.00622747198609147,0.0210914193269294,0.0148639473408379,0.0273188913130208,"a",0.0051966804772294,0.273179814100987,0.212994994758021,"allo_chla"
"2018","C6",4,0.0179357822450163,2.89272774175522e-06,0.00170080208776777,0.0179357822450163,0.0162349801572485,0.0196365843327841,"a",0.0132830839211182,0.285392626309838,0.212994994758021,"allo_chla"
"2018","T1-2",20,0.0292270044070297,0.00017235631320684,0.0131284543342634,0.0292270044070297,0.0160985500727662,0.0423554587412931,"a",0.006081281563898,0.275572506328417,0.212994994758021,"allo_chla"
"2018","T1-3",7,0.026014045779108,0.000214420680896916,0.0146431103559632,0.026014045779108,0.0113709354231449,0.0406571561350712,"a",0.00931556605605182,0.063961405117311,0.212994994758021,"allo_chla"
"2018","T2-3",16,0.023324746720261,4.5797829810582e-05,0.00676740938695022,0.023324746720261,0.0165573373333108,0.0300921561072112,"a",0.00663406930604175,0.343974228373174,0.212994994758021,"allo_chla"
"2018","T3-4",20,0.0215121962592145,3.3720966406366e-05,0.00580697566779525,0.0215121962592145,0.0157052205914193,0.0273191719270098,"a",0.00636507126985546,0.243530459865434,0.212994994758021,"allo_chla"
"2018","T4-6",8,0.0199312083629427,4.30386193203159e-05,0.0065603825589912,0.0199312083629427,0.0133708258039515,0.0264915909219339,"a",0.0105222430695397,0.13875840946663,0.212994994758021,"allo_chla"
"2018","T4-5",24,0.0220913808247911,5.515996578802e-05,0.00742697554782699,0.0220913808247911,0.0146644052769641,0.0295183563726181,"a",0.00527000685341688,0.2740962281607,0.212994994758021,"allo_chla"
"2018","T5-6",11,0.0295239050281394,0.000431894235379393,0.0207820652337392,0.0295239050281394,0.0087418397944002,0.0503059702618787,"a",0.011905392512353,0.146089941102606,0.212994994758021,"allo_chla"
"2018","NA",20,0.0318970604285769,0.000296993698940884,0.0172335051263776,0.0318970604285769,0.0146635553021993,0.0491305655549546,"ab",0.00595533576618037,0.353786896419939,0.212994994758021,"allo_chla"
"2021","C1",32,0.0170047833919314,0.000103019631615223,0.0101498586992737,0.0170047833919314,0.00685492469265762,0.0271546420912051,"b",0.00570104173702855,0.268635182274281,0.212994994758021,"allo_chla"
"2021","C2",43,0.02642041972619,0.00013601390348955,0.0116624998816528,0.02642041972619,0.0147579198445372,0.0380829196078427,"a",0.00563266871586576,0.328473088374472,0.212994994758021,"allo_chla"
