"ratio_name","year","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","y"
"allo_chla","2018",24,0.0239317004572944,2.72732372735093e-05,0.00522237850730003,0.0239317004572944,0.0187093219499944,0.0291540789645945,"a",0.94019891385583
"allo_chla","2021",50,0.0241762743624794,3.83598892918956e-05,0.0061935360894965,0.0241762743624794,0.0179827382729829,0.0303698104519759,"a",0.94019891385583
"allo_chla","2022",31,0.0275979923765619,8.11936599558678e-05,0.00901075246335553,0.0275979923765619,0.0185872399132064,0.0366087448399174,"a",0.94019891385583
"allo_chla","2023",28,0.0364703670619788,3.68928380903937e-05,0.00607394748828088,0.0364703670619788,0.0303964195736979,0.0425443145502597,"b",0.94019891385583
"but_chla","2018",24,0.0868725750393465,2.96034569731568e-05,0.00544090589637028,0.0868725750393465,0.0814316691429762,0.0923134809357167,"a",0.94019891385583
"but_chla","2021",50,0.0881223590530845,1.27888055969017e-05,0.00357614395640077,0.0881223590530845,0.0845462150966837,0.0916985030094852,"ab",0.94019891385583
"but_chla","2022",31,0.091651303685297,0.000114111540822875,0.0106823003525867,0.091651303685297,0.0809690033327103,0.102333604037884,"b",0.94019891385583
"but_chla","2023",28,0.0795286242075356,1.58655871666099e-05,0.0039831629600871,0.0795286242075356,0.0755454612474485,0.0835117871676227,"c",0.94019891385583
"chla_chla","2018",24,1,0,0,1,1,1,"a",0.94019891385583
"chla_chla","2021",50,1,0,0,1,1,1,"a",0.94019891385583
"chla_chla","2022",31,1,0,0,1,1,1,"a",0.94019891385583
"chla_chla","2023",28,1,0,0,1,1,1,"a",0.94019891385583
"chlb_chla","2018",24,0.0840127553006041,6.48020768305744e-05,0.00804997371614183,0.0840127553006041,0.0759627815844622,0.0920627290167459,"ab",0.94019891385583
"chlb_chla","2021",50,0.0811069428583324,4.30124197304965e-05,0.00655838545150378,0.0811069428583324,0.0745485574068286,0.0876653283098361,"a",0.94019891385583
"chlb_chla","2022",31,0.0861045843422005,0.000125174571231162,0.0111881442264194,0.0861045843422005,0.0749164401157811,0.0972927285686199,"b",0.94019891385583
"chlb_chla","2023",28,0.069668703398424,3.08244332813108e-05,0.00555197561966106,0.069668703398424,0.064116727778763,0.0752206790180851,"c",0.94019891385583
"dvchla_chla","2018",24,0.299636140058099,0.000130088928647828,0.0114056533634785,0.299636140058099,0.288230486694621,0.311041793421578,"a",0.94019891385583
"dvchla_chla","2021",50,0.315627440083845,9.24457405371402e-05,0.00961487080189537,0.315627440083845,0.306012569281949,0.32524231088574,"b",0.94019891385583
"dvchla_chla","2022",31,0.314372727937951,0.000186947082501842,0.0136728593389182,0.314372727937951,0.300699868599033,0.32804558727687,"b",0.94019891385583
"dvchla_chla","2023",28,0.289972810991704,0.000134805670909343,0.0116105844344436,0.289972810991704,0.278362226557261,0.301583395426148,"c",0.94019891385583
"fuco_chla","2018",24,0.271880014875963,0.000384358838201718,0.0196050717469159,0.271880014875963,0.252274943129047,0.291485086622879,"a",0.94019891385583
"fuco_chla","2021",50,0.251601290398479,0.000490008066799948,0.0221361258308663,0.251601290398479,0.229465164567613,0.273737416229345,"b",0.94019891385583
"fuco_chla","2022",31,0.235045023808124,0.000382801533598148,0.0195653145540303,0.235045023808124,0.215479709254094,0.254610338362154,"c",0.94019891385583
"fuco_chla","2023",28,0.275706064332713,0.000189671461912207,0.0137721262669279,0.275706064332713,0.261933938065785,0.289478190599641,"a",0.94019891385583
"hex_chla","2018",24,0.346646353388081,9.8041642444423e-05,0.00990159797428794,0.346646353388081,0.336744755413793,0.356547951362369,"a",0.94019891385583
"hex_chla","2021",50,0.349668951671902,0.000118380056490243,0.0108802599458948,0.349668951671902,0.338788691726007,0.360549211617797,"a",0.94019891385583
"hex_chla","2022",31,0.351041205573168,8.79772127504677e-05,0.009379616876529,0.351041205573168,0.341661588696639,0.360420822449697,"a",0.94019891385583
"hex_chla","2023",28,0.350675197521206,0.000160415140181092,0.0126655098666059,0.350675197521206,0.3380096876546,0.363340707387812,"a",0.94019891385583
"per_chla","2018",24,0.0360698914447756,2.63166809722091e-06,0.00162224168890487,0.0360698914447756,0.0344476497558707,0.0376921331336805,"a",0.94019891385583
"per_chla","2021",50,0.0361845833593601,1.69864378538362e-06,0.00130332029270767,0.0361845833593601,0.0348812630666524,0.0374879036520677,"a",0.94019891385583
"per_chla","2022",31,0.0363169304109637,1.35884118662033e-06,0.00116569343595147,0.0363169304109637,0.0351512369750123,0.0374826238469152,"a",0.94019891385583
"per_chla","2023",28,0.0361471646828862,4.88907374689115e-07,0.000699219117794354,0.0361471646828862,0.0354479455650918,0.0368463838006806,"a",0.94019891385583
"zea_chla","2018",24,0.0983704033957299,0.000981249250496032,0.0313248982519662,0.0983704033957299,0.0670455051437638,0.129695301647696,"a",0.94019891385583
"zea_chla","2021",50,0.166108619090036,0.00243429547311153,0.0493385799665082,0.166108619090036,0.116770039123528,0.215447199056544,"b",0.94019891385583
"zea_chla","2022",31,0.184244019667448,0.00340073128172133,0.0583157893003373,0.184244019667448,0.125928230367111,0.242559808967785,"b",0.94019891385583
"zea_chla","2023",28,0.113301316135609,0.0011824016012379,0.0343860669637849,0.113301316135609,0.0789152491718246,0.147687383099394,"a",0.94019891385583
