"combination","validation","FOD_0","log","dist_thr","n_initial","n_removed","percent_removed","n_remaining","mtry","nodesize","ntree","RMSE","RMSE_sd","R2","R2_sd","MAE","MAE_sd"
36,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,3,300,0.57623381187464,0.064196089075671,0.630926956484956,0.0764826295800724,0.447139895120289,0.0578914465617428
37,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,5,300,0.601904812635707,0.0594359544702076,0.599839526992659,0.0627972007246685,0.474694053419281,0.0550603711210586
38,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,5,300,0.575652457068051,0.0636710322286557,0.630792497464767,0.0819174990372751,0.449957773965469,0.0559317155255564
39,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,10,300,0.611072509317591,0.0573907541808891,0.587139328345324,0.0645913562913426,0.48806338875489,0.0569096793056388
40,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,10,300,0.579931200387011,0.0586996871523205,0.625152738346133,0.0800742977318707,0.45404418069717,0.0512841312026613
41,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,1,500,0.599624808043131,0.0625338422154424,0.602950357626571,0.0629362023504986,0.470121304962073,0.0574057378801308
42,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,1,500,0.57536791264837,0.0619350615672187,0.632049161906214,0.07626680508703,0.446944061523403,0.056588397272373
43,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,3,500,0.60210421542063,0.062162186120937,0.599108603445232,0.067872354661142,0.474565434046817,0.0580074597146322
44,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,3,500,0.573851241317132,0.0661350750069732,0.633803074643726,0.0778783793685443,0.445782236747051,0.060433701275988
45,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,5,500,0.600780285934467,0.0598228434104012,0.601532464590643,0.0611922728761285,0.474658174115228,0.0541510076282853
46,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,5,500,0.573219965097949,0.0627768326671269,0.634018276755665,0.0805147221746757,0.448044833973789,0.0556647562987248
47,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,4,10,500,0.609309975461012,0.0590985929538,0.589667921558422,0.0645817738573269,0.487152493867378,0.0551606603460979
48,"RS",FALSE,FALSE,0.25,191,25,13.0890052356021,166,9,10,500,0.578346445824457,0.0585454168965464,0.628116878920536,0.0747456948234334,0.453167146969339,0.0521677376613988
49,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,1,100,1.31676652947997,0.572966789500255,-0.777891157689608,0.876821219457877,1.09650167823327,0.518339485091285
50,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,1,100,1.37762661150409,0.567997838769402,-0.909005701110253,0.836859573812735,1.09542644229688,0.560620448893206
51,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,3,100,1.3056365450453,0.595497980841161,-0.764165300395656,0.927021954493965,1.08707289595816,0.527207928708127
52,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,3,100,1.35894922253471,0.565274337919548,-0.86465541082428,0.837367459861219,1.07849870902703,0.554339435748684
53,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,5,100,1.30753262931087,0.558032489843943,-0.776951917186291,0.899987834636301,1.06400405850833,0.503166503418978
54,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,5,100,1.35623286850156,0.514704151419798,-0.81574402775866,0.652711244790759,1.06952474886154,0.496037010345993
55,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,10,100,1.28489590766146,0.587974931592637,-0.73387028349192,0.945832194555932,1.06968304039322,0.52537353794115
56,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,10,100,1.3612623335443,0.508678346640299,-0.893958720412847,0.818899088220065,1.07659591382274,0.500787561011766
57,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,1,300,1.31984832652588,0.616796691464183,-0.78014398078523,0.927703684315211,1.09439303770411,0.551364221505776
58,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,1,300,1.35769727698256,0.552128751238885,-0.829717836526215,0.744450140029051,1.07431209613001,0.528328013350494
59,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,3,300,1.29324302954945,0.573412362986352,-0.734482065269779,0.896726140490903,1.07367680384319,0.5117469640947
60,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,3,300,1.37900916583517,0.58053449962671,-0.89018795295209,0.808388109258292,1.09445286896989,0.564551149999623
61,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,5,300,1.29550904664495,0.572867377134608,-0.734015462618307,0.885479865125796,1.07407470074642,0.510239797113626
62,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,5,300,1.35858501114023,0.566509630553956,-0.833987048845737,0.773876562197955,1.07682313560723,0.54594083608071
63,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,10,300,1.31958782391624,0.572891482025533,-0.783994254400977,0.875875914262645,1.09354554441673,0.512846097678679
64,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,10,300,1.31948444457666,0.538878663999725,-0.759906128790617,0.779762925831507,1.05279847815567,0.516558839603331
65,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,1,500,1.31851466279451,0.576104874738543,-0.797264649159089,0.911021632076088,1.08776374179431,0.516711988869999
66,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,1,500,1.34916359469072,0.528468437497083,-0.814513328745887,0.720467871551069,1.06645863523334,0.510529823557971
67,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,3,500,1.31727646505765,0.578450789800884,-0.774988694681487,0.875968271063568,1.08307525224601,0.517071313054067
68,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,3,500,1.35882872366753,0.546836632511331,-0.841770501900802,0.757363821014862,1.07214321671693,0.532001903375772
69,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,5,500,1.31604748177454,0.548420407639191,-0.773784584054956,0.840869080809027,1.07631398940488,0.508013051855589
70,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,5,500,1.32777122165643,0.528976696170586,-0.77012709644338,0.742632195711418,1.04756920397254,0.510449454611309
71,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,10,500,1.29651594603083,0.548111977617404,-0.756198244178472,0.89824948143952,1.06693948560472,0.502041794770212
72,"LOYO",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,10,500,1.33710806583603,0.537019667455604,-0.78534268670709,0.736359173588757,1.06130732074164,0.517934486327177
73,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,1,100,0.657188602355764,0.105639062517971,0.521611176053905,0.108017230645045,0.499418829631404,0.0763711614856434
74,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,1,100,0.622615109450985,0.0890499971213866,0.573731443963674,0.0681947194348144,0.475273512115109,0.0768310313460981
75,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,3,100,0.651340461283375,0.0891621934868092,0.528344707371721,0.0990186097891064,0.495175218675912,0.0616469299823034
