"n_train","n_test","rmse_test","r2_test","var_intra_fold_test","sd_intra_fold_test","mean_geo_dist_km","mean_covariate_dist","extrapolation_index","fold_id"
47624,50,0.387695354326056,0.00133080176961509,0.0819432440191173,0.286257303870342,19.6052636948756,1.0385870869542,5269.26048349999,"s_8_6"
47268,359,0.574089043465785,-0.0876224664091256,0.0295483674751027,0.17189638586981,50.4109944480936,0.792037007419914,4033.39786212086,"s_19_-7"
47527,147,0.380439277159254,-1.51398052324526,0.0289138064950206,0.170040602489584,18.4164867063935,0.736407416871881,3905.11226811386,"s_-5_-8"
47579,118,0.244727247924417,-0.289247320453256,0.0427575198699975,0.206778915438682,36.2338829450214,22.8176138876363,115671.356821281,"s_-9_-6"
47198,335,0.220954920957151,0.12561441060586,0.0484401557722432,0.220091244197136,9.75566504403954,0.496885881279442,2520.41056377002,"s_-7_16"
47482,70,0.122669729444192,0.742147725053892,0.0133736155563795,0.115644349435584,6.13695016094028,0.2220780014112,1133.85250541689,"s_19_-6"
46897,664,0.235058297287801,-0.188483433318451,0.0327738691896534,0.181035546757131,13.7387485826584,1.81109342542362,8994.00100134878,"s_-8_-7"
46465,1232,0.223538809766223,0.410366466185846,0.0423195167408219,0.205717079361005,53.1489873794283,0.523668837223462,2616.66651297325,"s_-9_-5"
45565,1750,0.256968580293375,0.3353484306146,0.0666532109676113,0.258172831583053,20.5058290337409,0.379260784987169,1901.72261593937,"s_-7_13"
47069,628,0.45188475942807,-0.424358294196968,0.0799168428492483,0.282695671790794,589.336538843952,1.38586888134561,6850.02846585902,"s_7_-22"
47619,62,0.169765584624649,0.24230962208975,0.0327996145181448,0.181106638525883,8.72308460390517,0.61118498582148,3124.37971001292,"s_9_5"
46185,1349,0.48729500747015,0.0878758020244355,0.0537795252218565,0.231904129376466,26.4840043714102,0.397635017807161,1978.66441465145,"s_9_-12"
47197,278,0.416689259738559,0.0109936784797687,0.16564121528041,0.406990436350058,11.8507742049048,0.303613281036426,1543.01510235003,"s_-8_4"
47209,488,0.197198314057104,-0.528791470676875,0.0239993442453634,0.154917217394851,19.5263846926699,0.241398814950237,1226.63984270255,"s_-9_-7"
44683,2789,0.253802761471744,0.329937051633346,0.0506762951855048,0.225113960441161,35.198801494817,1.14360698383757,5453.82527423722,"s_-6_22"
47408,153,0.20857163870749,0.729372615230294,0.0295537398316046,0.171912011888654,7.5210317250031,0.438671439509544,2236.40003031809,"s_27_-25"
