"year","fod","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y","pigment"
"2018","1",49,-1.77455524158841,0.0117393501218131,0.108348281582188,0.0168052415203242,0.0130947278497555,0.0215671639607004,"a",0.682013607861115,"Chlb"
"2018","2",54,-1.78058339677117,0.0120483587525815,0.109765016068789,0.0165735904667786,0.0128721646766919,0.0213393712603659,"a",0.674810170186943,"Chlb"
"2018","3",54,-1.74083915507643,0.00317322354958658,0.0563313726939668,0.0181618818009109,0.0159525264079404,0.0206772232883484,"a",0.653871212790573,"Chlb"
"2018","4",54,-1.48442414401907,0.00957345155780469,0.0978440164639856,0.0327775022581062,0.0261656687783739,0.0410600876813104,"a",1.29843397999163,"Chlb"
"2018","5",54,-1.62354822219187,0.00514983086335477,0.0717623220315144,0.0237931409748196,0.0201692363760696,0.0280681701028265,"a",0.887593472779743,"Chlb"
"2018","6",40,-1.7570523224339,0.0150172381157332,0.122544841244881,0.0174963588529525,0.0131948007452106,0.0232002422031576,"a",0.73365607629541,"Chlb"
"2018","7",46,-1.79840603984547,0.0105989810233593,0.102951352702911,0.0159072080103156,0.0125499676821401,0.0201625432903345,"a",0.637595602192025,"Chlb"
"2018","8",11,-1.74655954295129,0.0518116937115619,0.227621821694586,0.01792422789493,0.0106125227770436,0.0302734752498583,"a",0.957331344782873,"Chlb"
"2018","9",50,-1.7851142241891,0.0109621908558109,0.104700481640778,0.0164015833692074,0.0128879930784069,0.0208730665341351,"a",0.660064320001038,"Chlb"
"2018","10",52,-1.6356104984742,0.0129898835106177,0.113973170134983,0.0231413931968696,0.0177998495443337,0.0300858767237501,"a",0.951398958500948,"Chlb"
"2018","11",39,-1.67836290861696,0.0220277708208674,0.148417555635671,0.0209718668335982,0.0149011413966766,0.029515805989484,"a",0.933371739024094,"Chlb"
"2018","12",54,-1.50040870049824,0.0126200177460311,0.112338852344285,0.0315930314271443,0.0243922828356206,0.04091948430915,"a",1.29398771096435,"Chlb"
"2018","13",43,-1.72631896317573,0.0110645350558719,0.10518809369825,0.0187793707836485,0.0147398458992576,0.0239259466781478,"a",0.756604866786865,"Chlb"
"2018",NA,48,-1.49266579264456,0.0179714576888267,0.134057665535495,0.0321613453357997,0.023619817724781,0.0437917068565419,"a",1.38481536293085,"Chlb"
"2021","1",53,-1.72491536175658,0.00422471447828524,0.0649978036420096,0.0188401622352692,0.0162213440107256,0.0218817696497016,"b",0.691962313282018,"Chlb"
"2021","2",54,-1.77969572528165,0.00454182864681848,0.0673930904976058,0.0166075005202488,0.0142203794225005,0.0193953385725881,"a",0.613334458794976,"Chlb"
"2021","3",54,-1.73803197625824,0.00645197525537656,0.0803241884825273,0.0182796562163349,0.0151930104046955,0.0219933918615709,"a",0.695492117551748,"Chlb"
"2021","4",54,-1.60306603204536,0.00659739976291226,0.0812243791168161,0.0249421546660913,0.0206875751543074,0.0300717254074937,"b",0.950951454588351,"Chlb"
"2021","5",54,-1.68772765908619,0.00289397734707851,0.0537957000798253,0.0205244884166054,0.0181332914067897,0.0232310072845152,"b",0.734628953590315,"Chlb"
"2021","6",36,-1.75293181426888,0.0108691847033619,0.104255382131389,0.0176631511648101,0.013893536411927,0.0224555433419462,"a",0.710106630571791,"Chlb"
