"year","fod","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y","pigment"
"2018","1",40,-2.02438781320209,0.035541059191149,0.188523365106686,0.0094539257437839,0.00612475642129672,0.0145926965614834,"a",0.461461583379949,"Allo"
"2018","2",49,-2.03524677000239,0.028514085176795,0.16886114170168,0.0092204736273544,0.00625017371737537,0.0136023633513404,"a",0.430144497514369,"Allo"
"2018","3",54,-2.05252490575969,0.0183249846831954,0.135369807132888,0.00886084407360787,0.0064879170269394,0.0121016587251009,"ab",0.382688050373682,"Allo"
"2018","4",54,-1.94702481086772,0.0222848239398319,0.149281023374814,0.0112973137225406,0.00801113712919256,0.0159314832947277,"a",0.503797737162632,"Allo"
"2018","5",54,-2.16430041311365,0.00769686747475218,0.0877317928390397,0.00685014219865076,0.00559716093119649,0.00838361603651531,"a",0.265113217037017,"Allo"
"2018","6",13,-2.1166090231442,0.0646141024222995,0.254193041648074,0.00764523742078684,0.00425792429207331,0.0137272650265321,"a",0.434094235286131,"Allo"
"2018","7",29,-2.05895573019725,0.0415419912096958,0.203818525187716,0.00873060359249529,0.00546041617687025,0.0139592728137035,"a",0.441430965709704,"Allo"
"2018","8",9,-2.04189764417155,0.0526617144878156,0.229481403359435,0.00908034513263633,0.00535329223995416,0.0154022354902295,"a",0.487061452074055,"Allo"
"2018","9",35,-2.06481490082799,0.039628747858081,0.199069706028017,0.00861360791611092,0.00544647347798664,0.0136224369093808,"a",0.43077927915588,"Allo"
"2018","10",49,-1.99026039527194,0.0470440878935684,0.216896491196996,0.0102267962784367,0.00620644789246645,0.0168514042061961,"a",0.532888190637213,"Allo"
"2018","11",26,-2.10516744693332,0.0487147001792829,0.220714068829522,0.0078493293687871,0.00472191847090166,0.0130480803341653,"ab",0.412616529488132,"Allo"
"2018","12",54,-2.04752682000044,0.0210150738814163,0.144965767964083,0.00896340830414074,0.00641959177630658,0.0125152332463363,"a",0.395766425066859,"Allo"
"2018","13",25,-2.17528101756393,0.0442017912087208,0.21024222032865,0.00667911594258897,0.00411601323068921,0.0108383008688911,"a",0.342737167118779,"Allo"
"2018",NA,46,-1.88445341500955,0.0366383072632201,0.191411356150099,0.0130480792253571,0.00839721414837357,0.0202748635991583,"a",0.641147482225793,"Allo"
"2021","1",37,-2.18272326904872,0.0245193339714425,0.156586506351737,0.00656563493043717,0.00457815217854277,0.00941593034888978,"b",0.297757861919956,"Allo"
"2021","2",47,-2.0460647990585,0.024309345253242,0.155914544713577,0.00899363381693947,0.00628088231689161,0.0128780392868795,"a",0.407239359436699,"Allo"
"2021","3",53,-2.08638170465479,0.0127509209887041,0.112919976039247,0.00819630848006577,0.00631972701893426,0.0106301225510413,"a",0.3361539906801,"Allo"
