"year","fod","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y","pigment"
"2018","1",53,-1.13009826105625,0.00514059521615447,0.0716979442951782,0.0741142535537731,0.0628353147196892,0.0874177618801959,"a",2.76439235495663,"Hex"
"2018","2",54,-1.15732830560693,0.00615263792338584,0.0784387526888708,0.0696100097183214,0.0581076004581153,0.0833893228215049,"a",2.63700192655014,"Hex"
"2018","3",54,-1.11700591504981,0.00316379296558386,0.0562476040874975,0.0763825380277343,0.0671037021121999,0.0869444148670534,"a",2.74942380810494,"Hex"
"2018","4",54,-1.06755802671955,0.00777915836006935,0.0881995371873875,0.085593734104232,0.0698622286978274,0.104867643853649,"a",3.3162060743289,"Hex"
"2018","5",54,-1.21717163478536,0.00680489157418884,0.0824917667054648,0.0606496592522816,0.050157582771339,0.0733364919953789,"a",2.31910350312104,"Hex"
"2018","6",54,-1.53847606057244,0.0104526546889812,0.102238225185012,0.0289416934671778,0.0228710295093597,0.0366236955098719,"a",1.15814294143677,"Hex"
"2018","7",51,-1.17243793041441,0.00507890952672353,0.0712664684597429,0.0672298387468996,0.0570552484840098,0.0792188508161673,"a",2.50512002200177,"Hex"
"2018","8",24,-1.12582757738466,0.0090595029630981,0.0951814213126601,0.0748466596050404,0.0601161281132388,0.0931866810098021,"a",2.94682159582534,"Hex"
"2018","9",54,-1.15292736988609,0.00734035449871159,0.0856758688237919,0.0703189909434149,0.0577293624519764,0.0856541676068827,"a",2.70862260723563,"Hex"
"2018","10",54,-1.10623649814398,0.0075176316964266,0.0867042772671949,0.0783003136730213,0.0641297024076596,0.0956021763881015,"a",3.0232062665557,"Hex"
"2018","11",49,-1.29107300776657,0.00892715660508762,0.0944836314135291,0.0511595825678839,0.0411569668313802,0.063593191870606,"a",2.01099329991219,"Hex"
"2018","12",54,-1.03411593995867,0.00803206024622374,0.089621762124072,0.0924451347963209,0.0752076983755194,0.113633353128804,"a",3.5934021404924,"Hex"
"2018","13",54,-1.4893893219537,0.0101418706809412,0.100706855183454,0.0324048994379581,0.025698266161167,0.0408618037107485,"a",1.29216369028685,"Hex"
"2018",NA,51,-1.06108005627796,0.00675085614722881,0.0821635938066782,0.0868800263018465,0.0719045462304624,0.104974432993665,"ab",3.31958304344708,"Hex"
"2021","1",54,-1.17388729016054,0.00784562084935166,0.0885755093090165,0.0670058483108557,0.0546433353930453,0.0821652572187027,"b",2.59829357344692,"Hex"
"2021","2",54,-1.16631904827054,0.00691070393384849,0.0831306437714065,0.0681837607795412,0.056305433690446,0.0825679677666803,"a",2.61102839914076,"Hex"
"2021","3",54,-1.09140763332287,0.00184468483776706,0.0429497943856203,0.0810200238473033,0.0733909606268227,0.0894421357637676,"b",2.82840867803509,"Hex"
"2021","4",54,-1.10314456237068,0.00602603895573837,0.077627565695044,0.0788597575689997,0.0659519850926801,0.0942937707652354,"b",2.98183084783942,"Hex"
"2021","5",54,-1.30080919037121,0.00892856672189836,0.0944910933469306,0.0500254276122226,0.0402438680406464,0.0621844651030599,"b",1.96644544804927,"Hex"
"2021","6",54,-1.61377594260042,0.00428722156243284,0.0654768780748811,0.024334591341702,0.0209289374165054,0.0282944290951258,"b",0.894748410347344,"Hex"
"2021","7",54,-1.2394219891482,0.00837850996924801,0.0915342010903466,0.0576206311259238,0.0466706457282069,0.0711397298997119,"bc",2.24963578612271,"Hex"
"2021","8",26,-1.10877663011305,0.0208113449382094,0.144261377153448,0.0778436820082786,0.0558421322375703,0.108513743759396,"a",3.43150587711573,"Hex"
"2021","9",54,-1.09434958963705,0.00378342144922822,0.0615095232401311,0.0804730404716773,0.0698458950617481,0.0927171201261165,"b",2.93197277689966,"Hex"
"2021","10",53,-1.10197096333402,0.00393163421728208,0.0627027448943193,0.0790731494061202,0.0684425673139585,0.0913548863285763,"a",2.88889516184078,"Hex"
"2021","11",51,-1.30295623631547,0.00753361925194889,0.0867964241887239,0.0497787244276903,0.0407612355196159,0.0607911260308943,"a",1.92238419783977,"Hex"
"2021","12",54,-1.13519152505822,0.00639408622091315,0.079963030338483,0.0732501426759564,0.0609320015700611,0.0880585449975493,"b",2.78465569632682,"Hex"
"2021","13",54,-1.5739692668665,0.00806860163074595,0.0898253952440285,0.0266704739319949,0.0216872925491305,0.0327986620803776,"b",1.0371847638019,"Hex"
"2021",NA,52,-1.06907584007844,0.0110862427591177,0.105291228310424,0.0852951151658093,0.0669318657997675,0.108696456974817,"ab",3.43728377630918,"Hex"
