"year","fod","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y","pigment"
"2018","1",52,-2.12168286447098,0.027410579290354,0.165561406403648,0.00755643821197871,0.00516125990244583,0.0110631434050421,"a",0.349847312410039,"Zeax"
"2018","2",54,-2.12873547294214,0.0156484666776851,0.125093831493344,0.00743471845783486,0.00557404788853606,0.00991649868329129,"a",0.313587222532612,"Zeax"
"2018","3",54,-2.031866526857,0.00888193681891428,0.0942440280278505,0.00929251932933398,0.00747979069203772,0.0115445630822219,"a",0.365071139313149,"Zeax"
"2018","4",54,-1.86946753971807,0.0194990900057487,0.139639142097582,0.0135061777271422,0.00979249409160727,0.0186282304682209,"a",0.589076370581229,"Zeax"
"2018","5",54,-1.9563245713277,0.00688218255361034,0.0829589208802184,0.0110579705422931,0.00913516735112796,0.0133854923302664,"a",0.423286433663565,"Zeax"
"2018","6",54,-1.8942188405295,0.0289818493119465,0.170240563062822,0.0127579577467308,0.00862066158024661,0.0188808578497421,"a",0.597065149830542,"Zeax"
"2018","7",46,-2.1229225461374,0.0301843719416507,0.173736501466015,0.00753489932242363,0.00505057648531834,0.0112412331471665,"a",0.355479004540288,"Zeax"
"2018","8",7,-2.05949172864991,0.0701718439534278,0.264899686586126,0.0087198350847986,0.00473814759213449,0.0160475211942124,"a",0.507467177735364,"Zeax"
"2018","9",51,-2.13509402723025,0.0187395614778415,0.136892517976117,0.00732665889625564,0.005345809208889,0.0100414976450755,"a",0.317540036776557,"Zeax"
"2018","10",53,-1.98929588938396,0.0228904884580939,0.151296029221173,0.0102495337683196,0.00723449267741233,0.01452112085149,"a",0.459198160692719,"Zeax"
"2018","11",49,-2.18129497296509,0.0387758281881578,0.196915789585695,0.00658726336110835,0.00418590374450084,0.0103662294302888,"a",0.327808957475822,"Zeax"
"2018","12",54,-1.88404472891855,0.0251703435505296,0.15865164212995,0.0130603636972274,0.00906366048493604,0.0188194494031801,"a",0.595123244243454,"Zeax"
"2018","13",54,-1.93063434112304,0.0291544395574795,0.17074671170327,0.0117318272355426,0.00791806289577593,0.0173825053041753,"a",0.54968308201152,"Zeax"
"2018",NA,48,-1.9288425875825,0.0394606777327664,0.19864711861179,0.0117803288062897,0.00745607544479441,0.0186124922972967,"a",0.588578685917973,"Zeax"
"2021","1",54,-1.91503635102164,0.0347364256992071,0.186377106156328,0.0121608420853221,0.00791747212123634,0.0186784466000808,"b",0.590664344100836,"Zeax"
"2021","2",54,-1.91509407873927,0.0256631913539776,0.160197351270168,0.012159225737355,0.00840830719230749,0.0175834168698329,"b",0.556036463569004,"Zeax"
"2021","3",54,-1.9581948555562,0.0148678616717341,0.121933841372009,0.0110104519110492,0.00831517326379852,0.0145793776557034,"b",0.46104040259789,"Zeax"
"2021","4",54,-1.89928345212016,0.0147300787687161,0.121367535892907,0.012610042429987,0.00953562167163103,0.0166757003960367,"a",0.527331948300478,"Zeax"
"2021","5",54,-2.00160425187026,0.00686694438437402,0.0828670283307783,0.00996312887711511,0.00823244276085016,0.0120576528626546,"ab",0.381296462816379,"Zeax"
"2021","6",54,-1.70279610328104,0.0194204950523189,0.139357436300755,0.0198245755044673,0.014382899982593,0.0273250731360138,"b",0.864094683404836,"Zeax"
"2021","7",54,-1.88192451272274,0.046125127272692,0.214767612252621,0.0131242800002173,0.00800401465289128,0.0215200412535333,"b",0.680523457019501,"Zeax"
"2021","8",14,-2.01526672444572,0.0287970948037277,0.169697067752297,0.00965457755458191,0.00653185007420747,0.0142702093125961,"a",0.451263641151493,"Zeax"
"2021","9",53,-1.95853504378185,0.023313403733892,0.152687274302386,0.0110018306652342,0.0077406544737975,0.0156369565901971,"b",0.49448398498203,"Zeax"
"2021","10",51,-1.907674818203,0.0251074381690512,0.158453268092051,0.0123687320645714,0.00858760210352907,0.0178146974022339,"a",0.563350196177439,"Zeax"
"2021","11",51,-2.06235282130601,0.0377379400727731,0.194262554479172,0.0086625784101229,0.00553840389735314,0.0135490776949998,"b",0.428459457107836,"Zeax"
"2021","12",54,-2.00636557611021,0.0232202638872768,0.152381967067225,0.0098544961437768,0.00693829013918888,0.0139964014619695,"b",0.442605076659342,"Zeax"
"2021","13",54,-1.793359341212,0.0311338044605215,0.176447738609826,0.016093135160676,0.0107199539605675,0.024159525334946,"b",0.763991272469718,"Zeax"
"2021",NA,51,-1.91463229677301,0.041975091144835,0.204878234922197,0.0121721614241008,0.00759433006099709,0.0195094909681758,"a",0.61694427449919,"Zeax"
"2022","1",54,-1.88579367499002,0.0427952724775297,0.206870182669059,0.0130078741050515,0.00807860069068143,0.0209448139859226,"b",0.662333173640653,"Zeax"
"2022","2",54,-1.97339406487817,0.0236631291419994,0.153828245592282,0.0106317788692431,0.00746066757448654,0.0151507516982841,"b",0.479108836302418,"Zeax"
"2022","3",54,-1.92462059666945,0.0221489892684005,0.148825365003418,0.0118954096668914,0.00844411303652657,0.0167573279195916,"b",0.529913237242404,"Zeax"
"2022","4",54,-1.92107808587095,0.0222947997532189,0.149314432501412,0.0119928365332687,0.00850369121254126,0.0169136113387544,"a",0.534855352893137,"Zeax"
"2022","5",54,-2.04436207215984,0.00856102493487372,0.0925258068588095,0.00902896413344442,0.00729645857225767,0.0111728439921507,"b",0.353316349569247,"Zeax"
