"year","fod","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y","pigment"
"2018","1",53,-2.11050946880372,0.00878439308315199,0.0937250931349336,0.00775337038714074,0.00624835128907071,0.0096208983104616,"a",0.304239517979244,"Perid"
"2018","2",54,-2.15618577972738,0.00756389101493673,0.0869706330604574,0.00697933782542263,0.00571272853554753,0.00852677598423753,"a",0.269640332082146,"Perid"
"2018","3",54,-2.12102972032374,0.00321961283425257,0.0567416322839991,0.00756781104012877,0.00664092609909417,0.00862406283167447,"a",0.272716812324926,"Perid"
"2018","4",54,-1.9505241005372,0.0135689680574816,0.11648591355817,0.011206652347326,0.00857018083616693,0.0146541898280409,"a",0.463406171210803,"Perid"
"2018","5",54,-2.14055073073146,0.00555875790387939,0.0745570781608252,0.00723517881898916,0.00609385605099053,0.00859026076506033,"a",0.271647897123712,"Perid"
"2018","6",54,-2.33030214741083,0.000196490698681159,0.0140175139978942,0.0046740984170852,0.00452564348381532,0.00482742312573421,"a",0.152656523066895,"Perid"
"2018","7",51,-2.17832940671265,0.00670127984087261,0.0818613452178292,0.00663239820799166,0.00549299556112783,0.00800814519142615,"a",0.253239786382317,"Perid"
"2018","8",23,-2.11896951827076,0.0171213671268052,0.13084864205182,0.00760379643662573,0.00562576827550558,0.0102773021244722,"a",0.324996829150196,"Perid"
"2018","9",54,-2.15563684329259,0.00794111802226109,0.0891129509233147,0.00698816509649749,0.00569180752879526,0.00857977912444313,"a",0.271316438544055,"Perid"
"2018","10",54,-2.0970271953231,0.0134024367007106,0.115768893493506,0.00799784171317582,0.00612637971734032,0.0104409904413801,"a",0.330173108228078,"Perid"
"2018","11",49,-2.24603365227886,0.0136386875142271,0.116784791450887,0.00567500629649771,0.00433692144959798,0.00742593492632292,"a",0.234828681233751,"Perid"
"2018","12",54,-1.93643456007659,0.0142292319042503,0.119286344164998,0.0115761845004773,0.00879587594936238,0.0152353271420119,"a",0.481783346665411,"Perid"
"2018","13",54,-2.29295551216917,0.00281297643906032,0.0530375003093125,0.00509383048064215,0.00450823957953368,0.00575548581830314,"a",0.18200444226636,"Perid"
"2018",NA,51,-1.935434407132,0.0283602871297098,0.168405127979257,0.0116028744479441,0.00787336644299243,0.0170990003360732,"a",0.540717867739759,"Perid"
"2021","1",54,-2.14796990926326,0.0084034709508622,0.0916704475327911,0.00711262792842702,0.00575916661737035,0.00878416607980329,"ab",0.277779721573708,"Perid"
"2021","2",54,-2.17468924179407,0.00504910737882011,0.0710570712795012,0.00668822320335294,0.00567876225339917,0.00787712667335086,"a",0.249096617054539,"Perid"
"2021","3",54,-2.09512693164748,0.00178173308177234,0.0422105802112733,0.00803291309183365,0.0072889083274001,0.00885286106540581,"b",0.279952047757072,"Perid"
"2021","4",54,-2.0493104121928,0.010367225462506,0.101819573081535,0.00892667221329373,0.00706106183530297,0.0112851974196274,"b",0.356869276906775,"Perid"
"2021","5",54,-2.22835002195349,0.00611329502128988,0.0781875630857611,0.00591085053998971,0.00493699190314663,0.00707681008831078,"b",0.223788384475194,"Perid"
"2021","6",54,-2.31154249228632,0.00107157942437386,0.0327349877710969,0.00488042347820799,0.00452608306349346,0.00526250468506856,"b",0.166415010021238,"Perid"
"2021","7",54,-2.2271821052541,0.00465800039676693,0.0682495450297431,0.00592676755493949,0.00506487054709814,0.00693533493573864,"b",0.219314547330716,"Perid"
"2021","8",25,-2.08687122915344,0.0396988238229399,0.199245636898126,0.00818707503699022,0.00517467565781813,0.0129531205612934,"a",0.409613637804458,"Perid"
"2021","9",54,-2.09706774639929,0.00448492308714243,0.0669695683661052,0.0079970949711347,0.00685429331544768,0.00933043350117719,"b",0.295054214204593,"Perid"
"2021","10",53,-2.08897612086894,0.00647235568098922,0.0804509520204032,0.00814749080733739,0.00676975461689621,0.00980561485788119,"a",0.310080768092928,"Perid"
"2021","11",50,-2.26950310144831,0.00362407444412924,0.0602002860801279,0.00537646593586771,0.00468054702021979,0.00617585633360189,"ab",0.195297725161586,"Perid"
"2021","12",54,-2.113165332789,0.0131721442364941,0.114769962257091,0.00770610047507718,0.00591649776717978,0.0100370163006571,"b",0.317398324223138,"Perid"
"2021","13",54,-2.30631101340329,0.00241950257395754,0.0491884394340534,0.00493956820612094,0.0044106291881122,0.00553193955381318,"ab",0.174935288684252,"Perid"
