"pigment","year","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y"
"Allo","2018",54,-2.01352145863762,0.0146582272357896,0.121071165996655,0.00969345372433419,0.00733512257099602,0.0128100170373907,"a",0.405088307037171
"Allo","2021",54,-2.10393681475919,0.012128136923235,0.110127820841216,0.00787160304839937,0.00610851105799162,0.0101435740990444,"b",0.320767977676708
"Allo","2022",54,-2.11855467502311,0.0127071671605392,0.112726071343497,0.00761106314336943,0.005871096972294,0.00986668802196982,"b",0.312012071117261
"Allo","2023",34,-1.99749009989363,0.00526157826920777,0.0725367373763652,0.0100579599070222,0.008510854436691,0.0118862986370846,"a",0.375877766421424
"But","2018",54,-1.62995418438816,0.00901058595836323,0.0949241063079512,0.0234447613124793,0.0188417704864256,0.0291722496776576,"a",0.922507534525107
"But","2021",54,-1.64701260531885,0.00363506229754853,0.0602914778185817,0.0225417378421622,0.0196198605769457,0.0258987541196825,"a",0.818990515788656
"But","2022",54,-1.63197921360636,0.0013354958506819,0.0365444366584286,0.0233356974995059,0.0214524228971779,0.025384301829146,"a",0.802722105932797
"But","2023",34,-1.80700591629803,0.00488610203434646,0.0699006583255584,0.0155953125753156,0.0132768003738073,0.0183187038649471,"b",0.579288279953623
"Chla","2018",54,-0.720972901272228,0.00680790065208099,0.0825100033455398,0.190119690544633,0.157223367997899,0.229899010516491,"a",7.27004505051114
"Chla","2021",54,-0.780781614395791,0.00548244825505215,0.0740435564722019,0.165660277914836,0.139693059480014,0.196454482284047,"b",6.21243620566787
"Chla","2022",54,-0.777871604377181,0.00388977282201914,0.0623680432755361,0.166774019346587,0.144464238393143,0.192529125812606,"b",6.08830553488951
"Chla","2023",34,-0.79560281228979,0.00198249431094785,0.0445252098360901,0.160102158715996,0.144501374414822,0.177387248594175,"b",5.60947733428096
"Chlb","2018",54,-1.60946884094114,0.00422549519023935,0.0650038090440811,0.0245771295690828,0.0211605694128895,0.0285453234300751,"a",0.902682385852075
"Chlb","2021",54,-1.67520385113255,0.0024468158463628,0.0494652994164879,0.0211249723346096,0.0188508461707451,0.0236734442632387,"b",0.748620039328809
"Chlb","2022",54,-1.67035937785466,0.00354532636759748,0.0595426432701595,0.02136193661741,0.0186250727965925,0.0245009692595525,"b",0.774788677419551
"Chlb","2023",34,-1.72140484977979,0.00324795803876214,0.0569908592562188,0.0189930691848147,0.0166572878590381,0.0216563872889682,"c",0.684835097238587
"DvChla","2018",54,-1.65629921147297,0.000450947910323556,0.0212355341426477,0.0220648403026066,0.0210118965719694,0.0231705489274593,"a",0.732717092471428
"DvChla","2021",54,-1.62323101740064,0.00151558245863176,0.0389304823837537,0.0238105256194349,0.0217690010451551,0.0260435069619304,"b",0.823568002581521
"DvChla","2022",54,-1.62415693907813,0.00200724833665267,0.0448023251255186,0.0237598153352308,0.0214309160862258,0.0263417962392707,"b",0.833000737761533
"DvChla","2023",34,-1.65341344891607,0.000888558417573152,0.0298086970123344,0.0222119430390153,0.0207385245003881,0.0237900441547434,"a",0.752307251649644
"Fuco","2018",54,-1.32103339676491,0.0129425855004409,0.113765484662269,0.0477492553597038,0.0367452425612533,0.0620486144187378,"a",1.96214947220776
"Fuco","2021",54,-1.41533941452503,0.01307739357951,0.114356432173752,0.0384291329134284,0.0295327679707952,0.0500054129006244,"b",1.5813100010314
"Fuco","2022",54,-1.41856184143134,0.0115708987318844,0.107568112058753,0.0381450473711589,0.0297762530436051,0.0488659414875722,"b",1.54527675109245
"Fuco","2023",34,-1.38043201966823,0.00457977890621271,0.0676740637631044,0.0416454903817201,0.0356364075121332,0.0486678369177208,"ab",1.53901213453627
"Hex","2018",54,-1.19595391439443,0.00593708895415054,0.0770525077732746,0.0636863098704975,0.053332700880944,0.0760498905535504,"a",2.40490869955743
"Hex","2021",54,-1.2475566289366,0.00459244682268602,0.0677675941928443,0.0565514013243658,0.0483811042942514,0.0661014468024342,"b",2.09031128528146
"Hex","2022",54,-1.2441585119333,0.00361053673879936,0.0600877420011716,0.0569956207583891,0.0496310823170315,0.0654529507312267,"b",2.0698040388946
"Hex","2023",34,-1.26306457585552,0.0014503221516476,0.0380830953527625,0.0545676717622415,0.0499864539375838,0.0595687544723573,"b",1.88372941511991
"Perid","2018",54,-2.1094845978792,0.0049370638831642,0.0702642432761088,0.00777168880361274,0.00661075647187498,0.00913649551562878,"a",0.288921356613015
"Perid","2021",54,-2.16018302740385,0.00343427819770276,0.0586027149345724,0.00691539469751967,0.00604246658827271,0.00791443082454076,"b",0.250276277893933
"Perid","2022",54,-2.16045006413544,0.00161893110524363,0.0402359429520874,0.00691114390259297,0.00629961477499531,0.00758203664007116,"b",0.239765050854751
"Perid","2023",34,-2.19722727679629,0.00116045185572569,0.034065405556454,0.00634998534806814,0.00587093561549116,0.00686812402000882,"c",0.217189151557397
"Zeax","2018",54,-1.9293853408078,0.00481277970608627,0.0693742005797996,0.0117656157070029,0.0100286034451075,0.0138034885637449,"a",0.436504635175204
"Zeax","2021",54,-1.8932563948896,0.00397707228933932,0.0630640332466876,0.0127862621738536,0.0110580760363971,0.0147845339316175,"a",0.467528013679554
"Zeax","2022",54,-1.90313102004851,0.0104608817544703,0.10227845205355,0.0124988190294864,0.00987621482200639,0.0158178492415696,"a",0.500204312885269
"Zeax","2023",34,-2.04330758964295,0.00641603249568663,0.0801001404223902,0.00905091341695194,0.00752648620444191,0.0108841006886872,"b",0.344185484588588
